,금융회사,상품명,세전이자율,세후이자율,세후이자(예시),최고우대금리,이자계산방식,기간,비교 공시일,담당부서 및 연락처,우대조건,가입대상.1,가입방법,만기후 이자율,기타유의사항,등급,cluster_km,우대사항정리,급여이체,마케팅동의,자동이체,카드실적,최초거래,주택청약,비대면,영업점,해당은행,이체횟수,만기,변동금리,이벤트,기타,나이,환경,신혼,반려인,직장인,여행
10,오케이저축은행,OK안심정기예금(변동금리),4.31%,3.65%,"760,182",4.31%,복리,24개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,제한없음,영업점,"만기 후 1개월 이하 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과 시 부터 0.1%",3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,3,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
11,애큐온저축은행,플러스회전식정기예금(변동금리),4.30%,3.64%,"758,344",4.30%,복리,24개월,2023-08-30,ESG경영팀 0234852434,모바일뱅킹 가입: 연0.10%,제한없음,모두가능,"만기후 1개월 이내 해지 시 : 마지막 회전기간 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금이율","가입금액: 1백만원 이상
1년단위 변동금리 상품 : 가입기간 36개월(가입후 매1년 회전주기 단위로 약정이율 변동)
약정이율 : 회전시점 정기예금 12개월금리+0.1% 
중도해지이율 : 완료된 회전주기기간은 중도해지시에도 기간별 약정금리제공
(미완료된 회전주기기간은 당행 중도해지이자율 적용)",4,8,우대사항없음,,,,,,,,,,,,,,,,,,,,
12,애큐온저축은행,플러스회전식정기예금(변동금리),4.30%,3.64%,"727,560",4.30%,단리,24개월,2023-08-30,ESG경영팀 0234852434,모바일뱅킹 가입: 연0.10%,제한없음,모두가능,"만기후 1개월 이내 해지 시 : 마지막 회전기간 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금이율","가입금액: 1백만원 이상
1년단위 변동금리 상품 : 가입기간 36개월(가입후 매1년 회전주기 단위로 약정이율 변동)
약정이율 : 회전시점 정기예금 12개월금리+0.1% 
중도해지이율 : 완료된 회전주기기간은 중도해지시에도 기간별 약정금리제공
(미완료된 회전주기기간은 당행 중도해지이자율 적용)",4,8,우대사항없음,,,,,,,,,,,,,,,,,,,,
13,제이티친애저축은행,비대면 회전식 정기예금,4.30%,3.64%,"727,560",4.30%,단리,24개월,2023-11-10,"경영기획부, 15990060",없음,제한없음,온라인,"-1개월 이내 해지시 : 약정이율 적용
-1개월 초과 이후 해지시 : 보통예금 금리 적용","1. 가입기간 : 36개월 ~ 60개월만 가능
2. 적용금리(약정금리)
- 가입시점 : 개설일 기준의 영업점 및 홈페이지에 고시한 이율적용
- 회전기간 도래시점 : 회전당일 기준의 영업점 및 홈페이지에 고시한 이율적용
3. 중도해지이자율 
- 기간별 차등적용(당사홈페이지 참조)",5,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
14,제이티친애저축은행,비대면 회전식 정기예금,4.30%,3.64%,"758,344",4.30%,복리,24개월,2023-11-10,"경영기획부, 15990060",없음,제한없음,온라인,"-1개월 이내 해지시 : 약정이율 적용
-1개월 초과 이후 해지시 : 보통예금 금리 적용","1. 가입기간 : 36개월 ~ 60개월만 가능
2. 적용금리(약정금리)
- 가입시점 : 개설일 기준의 영업점 및 홈페이지에 고시한 이율적용
- 회전기간 도래시점 : 회전당일 기준의 영업점 및 홈페이지에 고시한 이율적용
3. 중도해지이자율 
- 기간별 차등적용(당사홈페이지 참조)",5,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
15,한국투자저축은행,비대면회전정기예금,4.25%,3.60%,"719,100",4.25%,단리,24개월,2023-09-01,"예금/대출 문의 1577-6333, 공시부서(영업지원팀)031-788-0306","- 없음, - 판매한도 소진시 별도 안내 없이 조기 판매 종료됩니다.",제한없음,온라인,"- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.2%",- 회전정기예금2 상품의 경우 현재 판매 일시중단되었으나 회전주기 도래시 4.20% 적용,1,11,우대사항없음,,,,,,,,,,,,,,,,,,,,
16,한국투자저축은행,비대면회전정기예금,4.25%,3.60%,"749,163",4.25%,복리,24개월,2023-09-01,"예금/대출 문의 1577-6333, 공시부서(영업지원팀)031-788-0306","- 없음, - 판매한도 소진시 별도 안내 없이 조기 판매 종료됩니다.",제한없음,온라인,"- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.2%",- 회전정기예금2 상품의 경우 현재 판매 일시중단되었으나 회전주기 도래시 4.20% 적용,1,11,우대사항없음,,,,,,,,,,,,,,,,,,,,
17,한국투자저축은행,인터넷회전정기예금,4.25%,3.60%,"719,100",4.25%,단리,24개월,2023-09-01,"예금/대출 문의 1577-6333, 공시부서(영업지원팀)031-788-0306","- 없음, - 판매한도 소진시 별도 안내 없이 조기 판매 종료됩니다.",제한없음,온라인,"- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.2%",- 회전정기예금2 상품의 경우 현재 판매 일시중단되었으나 회전주기 도래시 4.20% 적용,1,11,우대사항없음,,,,,,,,,,,,,,,,,,,,
18,한국투자저축은행,인터넷회전정기예금,4.25%,3.60%,"749,163",4.25%,복리,24개월,2023-09-01,"예금/대출 문의 1577-6333, 공시부서(영업지원팀)031-788-0306","- 없음, - 판매한도 소진시 별도 안내 없이 조기 판매 종료됩니다.",제한없음,온라인,"- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.2%",- 회전정기예금2 상품의 경우 현재 판매 일시중단되었으나 회전주기 도래시 4.20% 적용,1,11,우대사항없음,,,,,,,,,,,,,,,,,,,,
19,한국투자저축은행,회전정기예금,4.25%,3.60%,"719,100",4.25%,단리,24개월,2023-06-27,"예금/대출 문의 1577-6333, 공시부서(영업지원팀)031-788-0306",- 없음,제한없음,영업점,"- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.2%",- 회전정기예금2 상품의 경우 현재 판매 일시중단되었으나 회전주기 도래시 4.20% 적용,1,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
20,한국투자저축은행,회전정기예금,4.25%,3.60%,"749,163",4.25%,복리,24개월,2023-06-27,"예금/대출 문의 1577-6333, 공시부서(영업지원팀)031-788-0306",- 없음,제한없음,영업점,"- 1개월 이하 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.2%",- 회전정기예금2 상품의 경우 현재 판매 일시중단되었으나 회전주기 도래시 4.20% 적용,1,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
21,제이티친애저축은행,회전식 정기예금,4.25%,3.60%,"719,100",4.25%,단리,24개월,2023-11-10,"경영기획부, 15990060",없음,제한없음,영업점,"-1개월 이내 해지시 : 약정이율 적용
-1개월 초과 이후 해지시 : 보통예금 금리 적용","1. 가입기간 : 36개월 ~ 60개월만 가능
2. 적용금리(약정금리)
- 가입시점 : 개설일 기준의 영업점 및 홈페이지에 고시한 이율적용
- 회전기간 도래시점 : 회전당일 기준의 영업점 및 홈페이지에 고시한 이율적용
3. 중도해지이자율 
- 기간별 차등적용(당사홈페이지 참조)",5,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
22,제이티친애저축은행,회전식 정기예금,4.25%,3.60%,"749,163",4.25%,복리,24개월,2023-11-10,"경영기획부, 15990060",없음,제한없음,영업점,"-1개월 이내 해지시 : 약정이율 적용
-1개월 초과 이후 해지시 : 보통예금 금리 적용","1. 가입기간 : 36개월 ~ 60개월만 가능
2. 적용금리(약정금리)
- 가입시점 : 개설일 기준의 영업점 및 홈페이지에 고시한 이율적용
- 회전기간 도래시점 : 회전당일 기준의 영업점 및 홈페이지에 고시한 이율적용
3. 중도해지이자율 
- 기간별 차등적용(당사홈페이지 참조)",5,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
23,오케이저축은행,OK e-안심앱플러스정기예금6 (변동금리),4.21%,3.56%,"712,340",4.21%,단리,24개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,제한없음,온라인,"만기 후 1개월 이하: 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율
만기 후 1개월 초과: 연0.1%","*OK저축은행 모바일뱅킹앱 전용상품
*6개월 회전식 정기예금 (3년 만기 정기예금으로 가입 후 매 6개월 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 6개월 경과 후 중도해지 시 가입일부터 6개월 경과 시점까지는 정상이율을 적용함.)",3,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
24,오케이저축은행,OK e-안심앱플러스정기예금6 (변동금리),4.21%,3.56%,"741,825",4.21%,복리,24개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,제한없음,온라인,"만기 후 1개월 이하: 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율
만기 후 1개월 초과: 연0.1%","*OK저축은행 모바일뱅킹앱 전용상품
*6개월 회전식 정기예금 (3년 만기 정기예금으로 가입 후 매 6개월 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 6개월 경과 후 중도해지 시 가입일부터 6개월 경과 시점까지는 정상이율을 적용함.)",3,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
25,고려저축은행,회전정기예금,4.20%,3.55%,"739,991",4.20%,복리,24개월,2023-10-26,"영업추진팀,051-640-9023",-,제한없음,영업점,"*2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%)
*2019.07.01 가입분부터 
1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율
1개월초과: 보통예금이자율(현재0.1%)",-,4,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
26,고려저축은행,회전정기예금,4.20%,3.55%,"710,640",4.20%,단리,24개월,2023-10-26,"영업추진팀,051-640-9023",-,제한없음,영업점,"*2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%)
*2019.07.01 가입분부터 
1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율
1개월초과: 보통예금이자율(현재0.1%)",-,4,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
27,고려저축은행,회전정기예금(비대면),4.20%,3.55%,"739,991",4.20%,복리,24개월,2023-10-26,"영업추진팀,051-640-9023",-,제한없음,온라인,"*2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%)
*2019.07.01 가입분부터 
1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율
1개월초과: 보통예금이자율(현재0.1%)",-,4,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
28,고려저축은행,회전정기예금(비대면),4.20%,3.55%,"710,640",4.20%,단리,24개월,2023-10-26,"영업추진팀,051-640-9023",-,제한없음,온라인,"*2019.06.30 가입분까지 만기시점 보통예금이자율(현재0.1%)
*2019.07.01 가입분부터 
1개월이내: 당초 약정금리와 만기시 동일상품 동일계약기간의 신규약정금리 중 낮은이율
1개월초과: 보통예금이자율(현재0.1%)",-,4,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
29,키움저축은행,비대면 회전식정기예금 (1년단위 변동금리상품),4.20%,3.55%,"710,640",4.20%,단리,24개월,2023-08-30,경영지원팀 1670-0077 예적금문의 1670-0077,"*회전시점 고시된 12개월 정기예금금리 + 우대금리 0.1%로 자동연장되는 변동금리상품(1년단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용.",제한없음,온라인,"-만기후 1개월 이내
최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율
-만기후 1개월 초과
연 0.2% (신규시점의 보통예금 금리)","*계약기간
36개월
(회전주기12개월)",3,11,우대사항없음,,,,,,,,,,,,,,,,,,,,
30,키움저축은행,비대면 회전식정기예금 (1년단위 변동금리상품),4.20%,3.55%,"739,991",4.20%,복리,24개월,2023-08-30,경영지원팀 1670-0077 예적금문의 1670-0077,"*회전시점 고시된 12개월 정기예금금리 + 우대금리 0.1%로 자동연장되는 변동금리상품(1년단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용.",제한없음,온라인,"-만기후 1개월 이내
최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율
-만기후 1개월 초과
연 0.2% (신규시점의 보통예금 금리)","*계약기간
36개월
(회전주기12개월)",3,11,우대사항없음,,,,,,,,,,,,,,,,,,,,
31,키움저축은행,SB톡톡 회전식정기예금(비대면) (1년단위 변동금리상품),4.20%,3.55%,"710,640",4.20%,단리,24개월,2023-08-30,경영지원팀 1670-0077 예적금문의 1670-0077,"*회전시점 고시된 12개월 정기예금금리 + 우대금리 0.1%로 자동연장되는 변동금리상품(1년단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용.",제한없음,온라인,"-만기후 1개월 이내
최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율
-만기후 1개월 초과
연 0.2% (신규시점의 보통예금 금리)","*계약기간
36개월
(회전주기12개월)",3,11,우대사항없음,,,,,,,,,,,,,,,,,,,,
32,키움저축은행,SB톡톡 회전식정기예금(비대면) (1년단위 변동금리상품),4.20%,3.55%,"739,991",4.20%,복리,24개월,2023-08-30,경영지원팀 1670-0077 예적금문의 1670-0077,"*회전시점 고시된 12개월 정기예금금리 + 우대금리 0.1%로 자동연장되는 변동금리상품(1년단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용.",제한없음,온라인,"-만기후 1개월 이내
최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율
-만기후 1개월 초과
연 0.2% (신규시점의 보통예금 금리)","*계약기간
36개월
(회전주기12개월)",3,11,우대사항없음,,,,,,,,,,,,,,,,,,,,
33,푸른상호저축은행,푸른 정기예금,4.20%,3.55%,"710,640",4.30%,단리,24개월,2023-11-09,"예금/대출문의 : 02-545-9000, 공시부서 : 기획부, 02-6255-1114","예금 가입일 기준 예금거래기간 3년 이상, 직전 2년 평잔 10억원 이상인 고객(단, 대출관련 예금 등 제외) : 0.1%p",제한없음,모두가능,"만기 후 보통예금 금리에 연동 (단, 만기 1개월 경과시점까지는 약정금리와 만기시점 동일상품 동일계약기간의 기본금리 중 낮은 금리 적용)","* 중도해지금리
1개월 미만 : 0.20%,
3개월 미만 : 1.70%,
6개월 미만 : 1.95%, 
12개월 미만 : 2.31%,
12개월 이상
- 연단위 기간 : 해당 기간별 가입시점 고시금리 적용
- 연단위 기간 초과분 : 초과기간에 해당하는 가입시점의 중도해지금리 적용 

* 우수고객 중도해지금리 : 실예치기간 기본금리 적용",1,8,"* 해당은행 : 0.1% [가입일 기준 예금거래기간 3년 이상, 직전 2년 평잔 10억원 이상인 경우]",,,,,,,,,0.1%,,,,,,,,,,,
34,푸른상호저축은행,푸른 정기예금,4.20%,3.55%,"739,991",4.30%,복리,24개월,2023-11-09,"예금/대출문의 : 02-545-9000, 공시부서 : 기획부, 02-6255-1114","예금 가입일 기준 예금거래기간 3년 이상, 직전 2년 평잔 10억원 이상인 고객(단, 대출관련 예금 등 제외) : 0.1%p",제한없음,모두가능,"만기 후 보통예금 금리에 연동 (단, 만기 1개월 경과시점까지는 약정금리와 만기시점 동일상품 동일계약기간의 기본금리 중 낮은 금리 적용)","* 중도해지금리
1개월 미만 : 0.20%,
3개월 미만 : 1.70%,
6개월 미만 : 1.95%, 
12개월 미만 : 2.31%,
12개월 이상
- 연단위 기간 : 해당 기간별 가입시점 고시금리 적용
- 연단위 기간 초과분 : 초과기간에 해당하는 가입시점의 중도해지금리 적용 

* 우수고객 중도해지금리 : 실예치기간 기본금리 적용",1,8,"* 해당은행 : 0.1% [가입일 기준 예금거래기간 3년 이상, 직전 2년 평잔 10억원 이상인 경우]",,,,,,,,,0.1%,,,,,,,,,,,
35,상상인저축은행,뱅뱅뱅 정기예금,4.10%,3.47%,"721,673",4.10%,복리,24개월,2023-11-10,"예금/대출 문의 : 1577-1771, 공시부서 : 경영기획팀",없음,제한없음,온라인,"[2019년 7월 1일 이전 신규]
연 0.1% (세전)

[2019년 7월 1일 신규분부터]
- 1개월 이내 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.1% (세전)",없음,4,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
36,상상인저축은행,뱅뱅뱅 정기예금,4.10%,3.47%,"693,720",4.10%,단리,24개월,2023-11-10,"예금/대출 문의 : 1577-1771, 공시부서 : 경영기획팀",없음,제한없음,온라인,"[2019년 7월 1일 이전 신규]
연 0.1% (세전)

[2019년 7월 1일 신규분부터]
- 1개월 이내 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.1% (세전)",없음,4,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
37,상상인저축은행,비대면 정기예금,4.10%,3.47%,"721,673",4.10%,복리,24개월,2023-11-10,"예금/대출 문의 : 1577-1771, 공시부서 : 경영기획팀",없음,제한없음,온라인,"[2019년 7월 1일 이전 신규]
연 0.1% (세전)

[2019년 7월 1일 신규분부터]
- 1개월 이내 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.1% (세전)",없음,4,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
38,상상인저축은행,비대면 정기예금,4.10%,3.47%,"693,720",4.10%,단리,24개월,2023-11-10,"예금/대출 문의 : 1577-1771, 공시부서 : 경영기획팀",없음,제한없음,온라인,"[2019년 7월 1일 이전 신규]
연 0.1% (세전)

[2019년 7월 1일 신규분부터]
- 1개월 이내 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.1% (세전)",없음,4,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
39,상상인저축은행,정기예금,4.10%,3.47%,"693,720",4.10%,단리,24개월,2023-11-10,"예금/대출 문의 : 1577-1771, 공시부서 : 경영기획팀",없음,제한없음,영업점,"[2019년 7월 1일 이전 신규]
연 0.1% (세전)

[2019년 7월 1일 신규분부터]
- 1개월 이내 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.1% (세전)",없음,4,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
40,상상인저축은행,정기예금,4.10%,3.47%,"721,673",4.10%,복리,24개월,2023-11-10,"예금/대출 문의 : 1577-1771, 공시부서 : 경영기획팀",없음,제한없음,영업점,"[2019년 7월 1일 이전 신규]
연 0.1% (세전)

[2019년 7월 1일 신규분부터]
- 1개월 이내 : 당초 약정이율과 만기시점 해당상품 신규약정이율 중 낮은 이율
- 1개월 초과 : 연 0.1% (세전)",없음,4,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
41,상상인저축은행,e-정기예금,4.10%,3.47%,"693,720",4.10%,단리,24개월,2023-11-10,"예금/대출 문의 : 1577-1771, 공시부서 : 경영기획팀",없음,제한없음,온라인,"신규가입일 당시 영업점 및 인터넷 홈페이지에 고시한 경과기간별 만기후이자율 적용
-1개월 이내: 최종 회전이율과 만기시점 동일상품 동일계약기간의 신규약정금리 중 낮은 금리를 적용
-1개월 초과: 보통예금 이율: 연0.1%(세전)",없음,4,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
42,상상인저축은행,e-정기예금,4.10%,3.47%,"721,673",4.10%,복리,24개월,2023-11-10,"예금/대출 문의 : 1577-1771, 공시부서 : 경영기획팀",없음,제한없음,온라인,"신규가입일 당시 영업점 및 인터넷 홈페이지에 고시한 경과기간별 만기후이자율 적용
-1개월 이내: 최종 회전이율과 만기시점 동일상품 동일계약기간의 신규약정금리 중 낮은 금리를 적용
-1개월 초과: 보통예금 이율: 연0.1%(세전)",없음,4,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
43,애큐온저축은행,정기예금,4.10%,3.47%,"721,673",4.20%,복리,24개월,2023-11-13,ESG경영팀 0234852434,인터넷뱅킹 가입: 연 0.05% 폰뱅킹 가입: 연 0.05% 모바일뱅킹 가입: 연0.10%,제한없음,모두가능,"만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",가입금액 1백만원이상,4,8,* 비대면 : 0.05% [ 모바일가입시 0.05% 가산 가능 ],,,,,,,0.05%,,,,,,,,,,,,,
