,금융회사,상품명,세전이자율,세후이자율,세후이자(예시),최고우대금리,이자계산방식,기간,비교 공시일,담당부서 및 연락처,우대조건,가입대상.1,가입방법,만기후 이자율,기타유의사항,등급,cluster_km,우대사항정리,급여이체,마케팅동의,자동이체,카드실적,최초거래,주택청약,비대면,영업점,해당은행,이체횟수,만기,변동금리,이벤트,기타,나이,환경,신혼,반려인,직장인,여행
10,엠에스상호저축은행,정기예금,4.40%,3.72%,"372,240",4.40%,단리,12개월,2023-11-01,"기획회계팀,053-742-4411",없음,제한없음,영업점,"- 1개월내 : 당초 약정금리와 당초 약정기간에 해당하는 현행금리 중 낮은 금리
- 1개월이후 : 보통예금이자율",해당없음,4,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
11,엠에스상호저축은행,정기예금,4.40%,3.72%,"379,839",4.40%,복리,12개월,2023-11-01,"기획회계팀,053-742-4411",없음,제한없음,영업점,"- 1개월내 : 당초 약정금리와 당초 약정기간에 해당하는 현행금리 중 낮은 금리
- 1개월이후 : 보통예금이자율",해당없음,4,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
12,애큐온저축은행,"플러스회전식정기예금(변동금리,모바일)",4.35%,3.68%,"375,437",4.35%,복리,12개월,2023-11-13,ESG경영팀 0234852434,-,제한없음,온라인,"만기후 1개월 이내 해지 시 : 마지막 회전기간 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금이율","가입금액: 1백만원 이상
1년단위 변동금리 상품 : 가입기간 36개월(가입후 매1년 회전주기 단위로 약정이율 변동)
약정이율 : 회전시점 정기예금 12개월금리+0.1% 
중도해지이율 : 완료된 회전주기기간은 중도해지시에도 기간별 약정금리제공
(미완료된 회전주기기간은 당행 중도해지이자율 적용)",4,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
13,애큐온저축은행,"플러스회전식정기예금(변동금리,모바일)",4.35%,3.68%,"368,010",4.35%,단리,12개월,2023-11-13,ESG경영팀 0234852434,-,제한없음,온라인,"만기후 1개월 이내 해지 시 : 마지막 회전기간 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금이율","가입금액: 1백만원 이상
1년단위 변동금리 상품 : 가입기간 36개월(가입후 매1년 회전주기 단위로 약정이율 변동)
약정이율 : 회전시점 정기예금 12개월금리+0.1% 
중도해지이율 : 완료된 회전주기기간은 중도해지시에도 기간별 약정금리제공
(미완료된 회전주기기간은 당행 중도해지이자율 적용)",4,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
14,애큐온저축은행,3-UP정기예금(모바일),4.35%,3.68%,"375,437",4.35%,복리,12개월,2023-11-13,ESG경영팀 0234852434,-,제한없음,온라인,"만기후 1개월 이내 해지 시 : 각 구간별 약정금리의 평균금리
(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율
(2019.07.01 신규부터 적용)","가입금액 1백만원이상
가입기간 12개월(가입후 매3개월 단위로 구간별 약정이율 변동)
약정이율 : 4.35%(평균금리)
(1구간 2.6%, 2구간 3.6%, 3구간 5.4%, 4구간 5.8%) 
중도해지이율 : 경과한 구간은 구간별 약정금리 + 잔여경과일수의 보통예금금리 제공
(3개월미만은 보통예금금리 이자율 적용)",4,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
15,애큐온저축은행,3-UP정기예금(모바일),4.35%,3.68%,"368,010",4.35%,단리,12개월,2023-11-13,ESG경영팀 0234852434,-,제한없음,온라인,"만기후 1개월 이내 해지 시 : 각 구간별 약정금리의 평균금리
(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율
(2019.07.01 신규부터 적용)","가입금액 1백만원이상
가입기간 12개월(가입후 매3개월 단위로 구간별 약정이율 변동)
약정이율 : 4.35%(평균금리)
(1구간 2.6%, 2구간 3.6%, 3구간 5.4%, 4구간 5.8%) 
중도해지이율 : 경과한 구간은 구간별 약정금리 + 잔여경과일수의 보통예금금리 제공
(3개월미만은 보통예금금리 이자율 적용)",4,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
16,스마트저축은행,정기예금,4.31%,3.65%,"364,630",4.31%,단리,12개월,2023-11-08,"금융소비자보호팀, 070-4376-7742",해당없음,제한없음,영업점,"○ 만기후 1개월이내 : 가입당시 약정이율과 만기시점 해당상품 신규약정이율 중 낮은이율
○ 만기후 1개월이후 : 0.3%",가입한도 없음,4,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
17,스마트저축은행,정기예금,4.31%,3.65%,"371,916",4.31%,복리,12개월,2023-11-08,"금융소비자보호팀, 070-4376-7742",해당없음,제한없음,영업점,"○ 만기후 1개월이내 : 가입당시 약정이율과 만기시점 해당상품 신규약정이율 중 낮은이율
○ 만기후 1개월이후 : 0.3%",가입한도 없음,4,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
18,오케이저축은행,OK e-안심앱플러스정기예금(변동금리),4.31%,3.65%,"371,916",4.31%,복리,12개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,개인,온라인,"만기 후 1개월 이하: 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율
만기 후 1개월 초과: 연0.1%","*OK저축은행 모바일뱅킹앱 전용상품
*3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함",3,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
19,오케이저축은행,OK e-안심앱플러스정기예금(변동금리),4.31%,3.65%,"364,630",4.31%,단리,12개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,개인,온라인,"만기 후 1개월 이하: 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율
만기 후 1개월 초과: 연0.1%","*OK저축은행 모바일뱅킹앱 전용상품
*3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함",3,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
20,오케이저축은행,OK e-안심정기예금(변동금리),4.31%,3.65%,"371,916",4.31%,복리,12개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,제한없음,온라인,"만기 후 1개월 이하 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과 시 부터 0.1%",3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,3,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
21,오케이저축은행,OK e-안심정기예금(변동금리),4.31%,3.65%,"364,630",4.31%,단리,12개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,제한없음,온라인,"만기 후 1개월 이하 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과 시 부터 0.1%",3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,3,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
22,오케이저축은행,OK안심정기예금(변동금리),4.31%,3.65%,"364,630",4.31%,단리,12개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,제한없음,영업점,"만기 후 1개월 이하 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과 시 부터 0.1%",3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,3,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
23,오케이저축은행,OK안심정기예금(변동금리),4.31%,3.65%,"371,916",4.31%,복리,12개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,제한없음,영업점,"만기 후 1개월 이하 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율, 만기 후 1개월 초과 시 부터 0.1%",3년제 정기예금으로 가입 후 매 1년 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 1년 경과 후 중도해지 시 가입일부터 1년 경과 시점까지는 정상이율을 적용함,3,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
24,대백저축은행,정기예금,4.30%,3.64%,"371,036",4.30%,복리,12개월,2023-11-07,"총무부,053-742-3301",-,제한없음,영업점,"1개월이내-약정이율과 현행이율중 낮은이율
1개월 초과-보통예금이율(0.2%)",해당없음,5,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
25,대백저축은행,정기예금,4.30%,3.64%,"363,780",4.30%,단리,12개월,2023-11-07,"총무부,053-742-3301",-,제한없음,영업점,"1개월이내-약정이율과 현행이율중 낮은이율
1개월 초과-보통예금이율(0.2%)",해당없음,5,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
26,대아상호저축은행,정기예금,4.30%,3.64%,"371,036",4.30%,복리,12개월,2023-11-02,"김지수(수신, 0542809217)",없음,제한없음,영업점,"- 만기후 1개월 이내 : 약정금리 범위 내에서 동일 만기 현행 금리
- 만기후 1개월 초과 : 보통예금 이율 적용","예금자보호법에 따라 예금보험공사가 보호하되, 원금과 소정의 이자를 합하여 1인당 ""최고 5천만원""이며, 5천만원을 초과하는 나머지 금액은 보호하지 않습니다.",5,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
27,대아상호저축은행,정기예금,4.30%,3.64%,"363,780",4.30%,단리,12개월,2023-11-02,"김지수(수신, 0542809217)",없음,제한없음,영업점,"- 만기후 1개월 이내 : 약정금리 범위 내에서 동일 만기 현행 금리
- 만기후 1개월 초과 : 보통예금 이율 적용","예금자보호법에 따라 예금보험공사가 보호하되, 원금과 소정의 이자를 합하여 1인당 ""최고 5천만원""이며, 5천만원을 초과하는 나머지 금액은 보호하지 않습니다.",5,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
28,대한저축은행,정기예금,4.30%,3.64%,"363,780",4.30%,단리,12개월,2023-11-07,"영업1본부, 062-520-5935",없음,제한없음,영업점,"- 만기후 1개월이내 : 가입당시 약정금리와 현재금리 비교 후 낮은 금리

- 만기후 1개월초과 : 보통예금 금리",해당없음,3,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
29,대한저축은행,정기예금,4.30%,3.64%,"371,036",4.30%,복리,12개월,2023-11-07,"영업1본부, 062-520-5935",없음,제한없음,영업점,"- 만기후 1개월이내 : 가입당시 약정금리와 현재금리 비교 후 낮은 금리

- 만기후 1개월초과 : 보통예금 금리",해당없음,3,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
30,더블저축은행,정기예금,4.30%,3.64%,"371,036",4.30%,복리,12개월,2023-10-31,"영업6팀, 0622207236",-,제한없음,영업점,"*만기경과 1개월이내 : 
- 해당 약정기간 정기예금 현행이율
*만기경과 1개월이후 : 보통예금 이율",예금자보호한도외 기타사항 없음,5,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
31,더블저축은행,정기예금,4.30%,3.64%,"363,780",4.30%,단리,12개월,2023-10-31,"영업6팀, 0622207236",-,제한없음,영업점,"*만기경과 1개월이내 : 
- 해당 약정기간 정기예금 현행이율
*만기경과 1개월이후 : 보통예금 이율",예금자보호한도외 기타사항 없음,5,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
32,바로저축은행,정기예금,4.30%,3.64%,"371,036",4.30%,복리,12개월,2023-10-27,(예/적금) 자금효율부 02-3467-0157 (공시) 영업기획부 02-3467-0107,없음,제한없음,영업점,"* 만기후 1개월 이내 : 약정금리와 현행금리 중 낮은 금리
* 만기후 1개월 초과 : 보통예금 금리","1. 최소가입금액: 10만원이상
2. 정기예금 12개월 초과 3.00% (정기예금 12개월만 4.30% 적용)",3,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
33,바로저축은행,정기예금,4.30%,3.64%,"363,780",4.30%,단리,12개월,2023-10-27,(예/적금) 자금효율부 02-3467-0157 (공시) 영업기획부 02-3467-0107,없음,제한없음,영업점,"* 만기후 1개월 이내 : 약정금리와 현행금리 중 낮은 금리
* 만기후 1개월 초과 : 보통예금 금리","1. 최소가입금액: 10만원이상
2. 정기예금 12개월 초과 3.00% (정기예금 12개월만 4.30% 적용)",3,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
34,수협은행,헤이(Hey)정기예금,4.30%,3.64%,"363,780",4.30%,단리,12개월,2023-10-30,"개인금융부(수신), 1588-1515 개인금융부(여신), 1588-1515",없음,실명의 개인,온라인,"* 만기후 1년 이내
 - 만기당시 일반정기예금(월이자지급식 기준) 계약기간별 기본금리 1/2
* 만기후 1년 초과
 - 만기당시 보통예금 기본금리","-1인 다계좌 가능.
 단, 합산금액 최대 2억원 이내
-최저 10만원 이상",2,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
35,스마트저축은행,e-로운 정기예금,4.30%,3.64%,"363,780",4.30%,단리,12개월,2023-11-08,"금융소비자보호팀, 070-4376-7742",해당없음,제한없음,온라인,"○ 만기후 1개월이내 : 가입당시 약정이율과 만기시점 해당상품 신규약정이율 중 낮은이율
○ 만기후 1개월이후 : 0.3%",가입채널 제한(스마트폰 전용) / 본 상품은 한도금액 초과 시 조기에 소진될 수 있습니다.,4,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
36,스마트저축은행,e-로운 정기예금,4.30%,3.64%,"371,036",4.30%,복리,12개월,2023-11-08,"금융소비자보호팀, 070-4376-7742",해당없음,제한없음,온라인,"○ 만기후 1개월이내 : 가입당시 약정이율과 만기시점 해당상품 신규약정이율 중 낮은이율
○ 만기후 1개월이후 : 0.3%",가입채널 제한(스마트폰 전용) / 본 상품은 한도금액 초과 시 조기에 소진될 수 있습니다.,4,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
37,스마트저축은행,e-정기예금,4.30%,3.64%,"371,036",4.30%,복리,12개월,2023-11-08,"금융소비자보호팀, 070-4376-7742",해당없음,제한없음,온라인,"○ 만기후 1개월이내 : 가입당시 약정이율과 만기시점 해당상품 신규약정이율 중 낮은이율
○ 만기후 1개월이후 : 0.3%","가입채널 제한(인터넷, 스마트폰 전용) / 본 상품은 한도금액 초과 시 조기에 소진될 수 있습니다.",4,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
38,스마트저축은행,e-정기예금,4.30%,3.64%,"363,780",4.30%,단리,12개월,2023-11-08,"금융소비자보호팀, 070-4376-7742",해당없음,제한없음,온라인,"○ 만기후 1개월이내 : 가입당시 약정이율과 만기시점 해당상품 신규약정이율 중 낮은이율
○ 만기후 1개월이후 : 0.3%","가입채널 제한(인터넷, 스마트폰 전용) / 본 상품은 한도금액 초과 시 조기에 소진될 수 있습니다.",4,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
39,스카이저축은행,비대면회전정기예금,4.30%,3.64%,"363,780",4.30%,단리,12개월,2023-11-07,"영업부, 02-3485-4196",없음,제한없음,온라인,*만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율,"* 최소금액:10만원이상
*계약기간 : 36개월 (회전주기 12개월) 
* 회전주기(매 1년)마다 약정이율 변동",2,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
40,스카이저축은행,비대면회전정기예금,4.30%,3.64%,"371,036",4.30%,복리,12개월,2023-11-07,"영업부, 02-3485-4196",없음,제한없음,온라인,*만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율,"* 최소금액:10만원이상
*계약기간 : 36개월 (회전주기 12개월) 
* 회전주기(매 1년)마다 약정이율 변동",2,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
41,스카이저축은행,회전정기예금,4.30%,3.64%,"363,780",4.30%,단리,12개월,2023-11-01,"영업부, 02-3485-4196",없음,제한없음,영업점,*만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율,"* 최소금액:10만원이상
*계약기간 : 36개월 (회전주기 12개월) 
* 회전주기(매 1년)마다 약정이율 변동",2,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
42,스카이저축은행,회전정기예금,4.30%,3.64%,"371,036",4.30%,복리,12개월,2023-11-01,"영업부, 02-3485-4196",없음,제한없음,영업점,*만기후 1개월 이내 : 만기시점 동일상품 동일계약기간의 신규약정금리 *만기후 1개월 초과 :보통예금이율,"* 최소금액:10만원이상
*계약기간 : 36개월 (회전주기 12개월) 
* 회전주기(매 1년)마다 약정이율 변동",2,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
43,애큐온저축은행,정기예금,4.30%,3.64%,"371,036",4.40%,복리,12개월,2023-11-13,ESG경영팀 0234852434,인터넷뱅킹 가입: 연 0.05% 폰뱅킹 가입: 연 0.05% 모바일뱅킹 가입: 연0.10%,제한없음,모두가능,"만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",가입금액 1백만원이상,4,1,* 비대면 : 0.05% [모바일시 0.05% 가산],,,,,,,0.05%,,,,,,,,,,,,,
44,애큐온저축은행,플러스회전식정기예금(변동금리),4.30%,3.64%,"363,780",4.30%,단리,12개월,2023-08-30,ESG경영팀 0234852434,모바일뱅킹 가입: 연0.10%,제한없음,모두가능,"만기후 1개월 이내 해지 시 : 마지막 회전기간 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금이율","가입금액: 1백만원 이상
1년단위 변동금리 상품 : 가입기간 36개월(가입후 매1년 회전주기 단위로 약정이율 변동)
약정이율 : 회전시점 정기예금 12개월금리+0.1% 
중도해지이율 : 완료된 회전주기기간은 중도해지시에도 기간별 약정금리제공
(미완료된 회전주기기간은 당행 중도해지이자율 적용)",4,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
45,애큐온저축은행,플러스회전식정기예금(변동금리),4.30%,3.64%,"371,036",4.30%,복리,12개월,2023-08-30,ESG경영팀 0234852434,모바일뱅킹 가입: 연0.10%,제한없음,모두가능,"만기후 1개월 이내 해지 시 : 마지막 회전기간 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금이율","가입금액: 1백만원 이상
1년단위 변동금리 상품 : 가입기간 36개월(가입후 매1년 회전주기 단위로 약정이율 변동)
약정이율 : 회전시점 정기예금 12개월금리+0.1% 
중도해지이율 : 완료된 회전주기기간은 중도해지시에도 기간별 약정금리제공
(미완료된 회전주기기간은 당행 중도해지이자율 적용)",4,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
46,우리금융저축은행,회전정기예금,4.30%,3.64%,"371,036",4.30%,복리,12개월,2023-11-03,"고객문의: 1599-0776, (공시) 영업기획부",-,제한없음,영업점,*만기 후 1개월 이내: 가입 시 약정이율과 만기 시 판매이율 중 낮은금리 적용 *1개월 초과 시 : 연0.3% *2019.07.01. 이후 가입분 부터적용.이전가입분은 연0.3%,* 가입 후 매1년마다 해당시점 정기예금 12개월금리+0.1%로 자동 회전되는 상품. 완료된 회전주기 기간은 중도해지시에도 약정금리제공(미완료된 회전주기기간은 당행 중도해지이자율 적용),3,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
47,우리금융저축은행,회전정기예금,4.30%,3.64%,"363,780",4.30%,단리,12개월,2023-11-03,"고객문의: 1599-0776, (공시) 영업기획부",-,제한없음,영업점,*만기 후 1개월 이내: 가입 시 약정이율과 만기 시 판매이율 중 낮은금리 적용 *1개월 초과 시 : 연0.3% *2019.07.01. 이후 가입분 부터적용.이전가입분은 연0.3%,* 가입 후 매1년마다 해당시점 정기예금 12개월금리+0.1%로 자동 회전되는 상품. 완료된 회전주기 기간은 중도해지시에도 약정금리제공(미완료된 회전주기기간은 당행 중도해지이자율 적용),3,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
48,우리금융저축은행,e-회전정기예금,4.30%,3.64%,"371,036",4.30%,복리,12개월,2023-11-03,"고객문의: 1599-0776, (공시) 영업기획부",-,제한없음,온라인,*만기 후 1개월 이내: 가입 시 약정이율과 만기 시 판매이율 중 낮은금리 적용 *1개월 초과 시 : 연0.3% *2019.07.01. 이후 가입분 부터적용.이전가입분은 연0.3%,* 가입 후 매1년마다 해당시점 정기예금 12개월금리+0.1%로 자동 회전되는 상품. 완료된 회전주기 기간은 중도해지시에도 약정금리제공(미완료된 회전주기기간은 당행 중도해지이자율 적용),3,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
49,우리금융저축은행,e-회전정기예금,4.30%,3.64%,"363,780",4.30%,단리,12개월,2023-11-03,"고객문의: 1599-0776, (공시) 영업기획부",-,제한없음,온라인,*만기 후 1개월 이내: 가입 시 약정이율과 만기 시 판매이율 중 낮은금리 적용 *1개월 초과 시 : 연0.3% *2019.07.01. 이후 가입분 부터적용.이전가입분은 연0.3%,* 가입 후 매1년마다 해당시점 정기예금 12개월금리+0.1%로 자동 회전되는 상품. 완료된 회전주기 기간은 중도해지시에도 약정금리제공(미완료된 회전주기기간은 당행 중도해지이자율 적용),3,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
50,조은저축은행,정기예금(서울본점),4.30%,3.64%,"371,036",4.30%,복리,12개월,2023-11-02,"(재무팀,0222600758)",없음,제한없음,영업점,"- 1개월이내 해지: 만기시 동일상품 동일계약기간의 신규약정금리
'- 1개월초과 이후 해지: 보통예금 이율",없음,4,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
51,조은저축은행,정기예금(서울본점),4.30%,3.64%,"363,780",4.30%,단리,12개월,2023-11-02,"(재무팀,0222600758)",없음,제한없음,영업점,"- 1개월이내 해지: 만기시 동일상품 동일계약기간의 신규약정금리
'- 1개월초과 이후 해지: 보통예금 이율",없음,4,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
52,참저축은행,정기예금,4.30%,3.64%,"371,036",4.30%,복리,12개월,2023-11-08,"수신파트, 053-720-7334",없음,제한없음,영업점,*만기 후 1개월 간 : 가입이율과 만기일 당시 기간별 정기예금이율 중 낮은 단리 이율 ＊만기후 1개월초과 : 보통예금 이율 적용대상 : 19.07.01 신규가입자부터 적용 (이전가입자는 영업점 확인요망),없음,5,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
