,금융회사,상품명,적립방식,세전이자율,세후이자율,세후이자(예시),최고우대금리,실질이자율,이자계산방식,기간,비교 공시일,담당부서 및 연락처,우대조건,가입대상.1,가입방법,만기후 이자율,기타유의사항,등급,cluster_num,우대사항정리,급여이체,마케팅동의,자동이체,카드실적,최초거래,주택청약,비대면,영업점,해당은행,이체횟수,만기,변동금리,이벤트,기타,나이,환경,신혼,반려인,직장인,여행
10,다올저축은행,Fi 리볼빙 정기예금(6M)(대면),,4.30%,3.64%,"181,890",4.30%,,단리,6개월,2023-11-03,(고객문의) 1544-6700 (공시담당) 기획팀,없음,제한없음,영업점,"- 만기후 1개월이내 : 마지막 회전도래시 약정이율 또는 만기시점 동일상품의 신규 약정이율 중 낮은 이율
- 만기후 1개월초과 : 연 0.1%","* 변동금리 상품 : 가입기간 36개월 (가입 후 매 6개월 회전주기 단위로 약정이율 변동)
* 중도해지이율 : 1개월미만 - 신규일의 보통예금 금리, 6개월미만 : 약정이율X50%,",3,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
11,다올저축은행,Fi 리볼빙 정기예금(6M)(대면),,4.30%,3.64%,"183,527",4.30%,,복리,6개월,2023-11-03,(고객문의) 1544-6700 (공시담당) 기획팀,없음,제한없음,영업점,"- 만기후 1개월이내 : 마지막 회전도래시 약정이율 또는 만기시점 동일상품의 신규 약정이율 중 낮은 이율
- 만기후 1개월초과 : 연 0.1%","* 변동금리 상품 : 가입기간 36개월 (가입 후 매 6개월 회전주기 단위로 약정이율 변동)
* 중도해지이율 : 1개월미만 - 신규일의 보통예금 금리, 6개월미만 : 약정이율X50%,",3,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
12,다올저축은행,Fi 리볼빙 정기예금(6M)(비대면),,4.30%,3.64%,"181,890",4.30%,,단리,6개월,2023-11-03,(고객문의) 1544-6700 (공시담당) 기획팀,없음,제한없음,온라인,"- 만기후 1개월이내 : 마지막 회전도래시 약정이율 또는 만기시점 동일상품의 신규 약정이율 중 낮은 이율
- 만기후 1개월초과 : 연 0.1%","* 변동금리 상품 : 가입기간 36개월 (가입 후 매 6개월 회전주기 단위로 약정이율 변동)
* 중도해지이율 : 1개월미만 - 신규일의 보통예금 금리, 6개월미만 : 약정이율X50%,",3,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
13,다올저축은행,Fi 리볼빙 정기예금(6M)(비대면),,4.30%,3.64%,"183,527",4.30%,,복리,6개월,2023-11-03,(고객문의) 1544-6700 (공시담당) 기획팀,없음,제한없음,온라인,"- 만기후 1개월이내 : 마지막 회전도래시 약정이율 또는 만기시점 동일상품의 신규 약정이율 중 낮은 이율
- 만기후 1개월초과 : 연 0.1%","* 변동금리 상품 : 가입기간 36개월 (가입 후 매 6개월 회전주기 단위로 약정이율 변동)
* 중도해지이율 : 1개월미만 - 신규일의 보통예금 금리, 6개월미만 : 약정이율X50%,",3,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
14,바로저축은행,바로6개월 정기예금 단리식,,4.30%,3.64%,"181,890",4.30%,,단리,6개월,2023-10-27,(예/적금) 자금효율부 02-3467-0157 (공시) 영업기획부 02-3467-0107,없음,제한없음,영업점,"* 만기후 1개월 이내 : 약정금리와 현행금리 중 낮은 금리
* 만기후 1개월 초과 : 보통예금 금리",1. 최소가입금액: 10만원이상,3,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
15,바로저축은행,바로6개월 정기예금 단리식(비대면),,4.30%,3.64%,"181,890",4.30%,,단리,6개월,2023-10-27,(예/적금) 자금효율부 02-3467-0157 (공시) 영업기획부 02-3467-0107,없음,제한없음,온라인,"* 만기후 1개월 이내 : 약정금리와 현행금리 중 낮은 금리
* 만기후 1개월 초과 : 보통예금 금리",1. 최소가입금액: 10만원이상,3,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
16,바로저축은행,바로6개월 정기예금 복리식,,4.30%,3.64%,"183,527",4.30%,,복리,6개월,2023-10-27,(예/적금) 자금효율부 02-3467-0157 (공시) 영업기획부 02-3467-0107,없음,제한없음,영업점,"* 만기후 1개월 이내 : 약정금리와 현행금리 중 낮은 금리
* 만기후 1개월 초과 : 보통예금 금리",1. 최소가입금액: 10만원이상,3,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
17,바로저축은행,바로6개월 정기예금 복리식(비대면),,4.30%,3.64%,"183,527",4.30%,,복리,6개월,2023-10-27,(예/적금) 자금효율부 02-3467-0157 (공시) 영업기획부 02-3467-0107,없음,제한없음,온라인,"* 만기후 1개월 이내 : 약정금리와 현행금리 중 낮은 금리
* 만기후 1개월 초과 : 보통예금 금리",1. 최소가입금액: 10만원이상,3,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
18,스마트저축은행,e-로운 정기예금,,4.30%,3.64%,"183,527",4.30%,,복리,6개월,2023-11-08,"금융소비자보호팀, 070-4376-7742",해당없음,제한없음,온라인,"○ 만기후 1개월이내 : 가입당시 약정이율과 만기시점 해당상품 신규약정이율 중 낮은이율
○ 만기후 1개월이후 : 0.3%",가입채널 제한(스마트폰 전용) / 본 상품은 한도금액 초과 시 조기에 소진될 수 있습니다.,4,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
19,스마트저축은행,e-로운 정기예금,,4.30%,3.64%,"181,890",4.30%,,단리,6개월,2023-11-08,"금융소비자보호팀, 070-4376-7742",해당없음,제한없음,온라인,"○ 만기후 1개월이내 : 가입당시 약정이율과 만기시점 해당상품 신규약정이율 중 낮은이율
○ 만기후 1개월이후 : 0.3%",가입채널 제한(스마트폰 전용) / 본 상품은 한도금액 초과 시 조기에 소진될 수 있습니다.,4,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
20,스마트저축은행,e-정기예금,,4.30%,3.64%,"181,890",4.30%,,단리,6개월,2023-11-08,"금융소비자보호팀, 070-4376-7742",해당없음,제한없음,온라인,"○ 만기후 1개월이내 : 가입당시 약정이율과 만기시점 해당상품 신규약정이율 중 낮은이율
○ 만기후 1개월이후 : 0.3%","가입채널 제한(인터넷, 스마트폰 전용) / 본 상품은 한도금액 초과 시 조기에 소진될 수 있습니다.",4,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
21,스마트저축은행,e-정기예금,,4.30%,3.64%,"183,527",4.30%,,복리,6개월,2023-11-08,"금융소비자보호팀, 070-4376-7742",해당없음,제한없음,온라인,"○ 만기후 1개월이내 : 가입당시 약정이율과 만기시점 해당상품 신규약정이율 중 낮은이율
○ 만기후 1개월이후 : 0.3%","가입채널 제한(인터넷, 스마트폰 전용) / 본 상품은 한도금액 초과 시 조기에 소진될 수 있습니다.",4,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
22,스타저축은행,스타e_정기예금,,4.30%,3.64%,"183,527",4.30%,,복리,6개월,2023-11-06,융자부 0632776611,없음,제한없음,온라인,"*만기후 1개월이하: 최초 약정이율과 만기시점 이율 중 낮은 금리 적용,
만기후 1개월 초과: 보통예금 금리 적용",없음,3,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
23,스타저축은행,스타e_정기예금,,4.30%,3.64%,"181,890",4.30%,,단리,6개월,2023-11-06,융자부 0632776611,없음,제한없음,온라인,"*만기후 1개월이하: 최초 약정이율과 만기시점 이율 중 낮은 금리 적용,
만기후 1개월 초과: 보통예금 금리 적용",없음,3,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
24,오투저축은행,정기예금,,4.30%,3.64%,"183,527",4.30%,,복리,6개월,2023-11-06,수신팀 (042-712-0260),-,제한없음,영업점,"1. 2019년 7월 1일 이전 신규
-보통예금 이율

2. 2019년 7월 1일 신규분 부터
-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율
-1개월 초과: 보통예금 이율

[코로나19관련대책 - 창구가입상품한 : 한시적으로 만기후 1개월간 해당 예금의 동일계약기간 신규약정금리 적용, 이후 보통예금이율]","중도해지이율
-1개월 미만: 보통예금이율
-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%
-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%
-12개월 이상: 계약일의 계약기간별 약정이율의 70%",3,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
25,오투저축은행,정기예금,,4.30%,3.64%,"181,890",4.30%,,단리,6개월,2023-11-06,수신팀 (042-712-0260),-,제한없음,영업점,"1. 2019년 7월 1일 이전 신규
-보통예금 이율

2. 2019년 7월 1일 신규분 부터
-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율
-1개월 초과: 보통예금 이율

[코로나19관련대책 - 창구가입상품한 : 한시적으로 만기후 1개월간 해당 예금의 동일계약기간 신규약정금리 적용, 이후 보통예금이율]","중도해지이율
-1개월 미만: 보통예금이율
-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%
-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%
-12개월 이상: 계약일의 계약기간별 약정이율의 70%",3,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
26,청주저축은행,정기예금,,4.30%,3.64%,"181,890",4.50%,,단리,6개월,2023-11-06,"(총무팀,043-256-9114)","천안지점 방문 가입 시 우대금리 +0.2% 적용, 한도 소진 시 신규가입 +0.1%로 하향 적용",제한없음,영업점,"계약기간 1년미만 : 1%
계약기간 1년이상 : 1개월까지 현행예치기간 이율
이후 1%",제한없음,4,2,* 영업점 : 0.1% [천안지점 방문시 0.1% 가산 가능(한도소진시 적용불가)],,,,,,,,0.1%,,,,,,,,,,,,
27,청주저축은행,정기예금,,4.30%,3.64%,"183,527",4.50%,,복리,6개월,2023-11-06,"(총무팀,043-256-9114)","천안지점 방문 가입 시 우대금리 +0.2% 적용, 한도 소진 시 신규가입 +0.1%로 하향 적용",제한없음,영업점,"계약기간 1년미만 : 1%
계약기간 1년이상 : 1개월까지 현행예치기간 이율
이후 1%",제한없음,4,3,* 영업점 : 0.1% [천안지점 방문시 0.1% 가산 가능(한도소진시 적용불가)],,,,,,,,0.1%,,,,,,,,,,,,
28,청주저축은행,펫팸정기예금_천안지점,,4.30%,3.64%,"183,527",4.50%,,복리,6개월,2023-11-06,"(총무팀,043-256-9114)","본 상품 가입 시 우대금리 0.3% 적용, 한도 소진 시 신규가입 +0.2%로 하향 적용",반려동물을 키우는 지점방문고객(개인),영업점,"계약기간 1년미만 : 1%
계약기간 1년이상 : 1개월까지 현행예치기간 이율
이후 1%",제한없음,4,3,* 반려인 : 0.2% [ 한도 소진 전 0.1% 가산 가능 ],,,,,,,,,,,,,,,,,,0.2%,,
29,청주저축은행,펫팸정기예금_천안지점,,4.30%,3.64%,"181,890",4.50%,,단리,6개월,2023-11-06,"(총무팀,043-256-9114)","본 상품 가입 시 우대금리 0.3% 적용, 한도 소진 시 신규가입 +0.2%로 하향 적용",반려동물을 키우는 지점방문고객(개인),영업점,"계약기간 1년미만 : 1%
계약기간 1년이상 : 1개월까지 현행예치기간 이율
이후 1%",제한없음,4,2,* 반려인 : 0.2% [ 한도 소진 전 0.1% 가산 가능 ],,,,,,,,,,,,,,,,,,0.2%,,
30,페퍼저축은행,페퍼스 회전정기예금 (디지털페퍼앱) (1년단위 변동금리상품),,4.30%,3.64%,"183,527",4.30%,,복리,6개월,2023-11-03,예금담당자 03180159344 대출문의 15990722,*매 1년마다 해당시점 정기예금 1년 금리 +0.1%로 자동연장되는 변동금리 상품(1년 단위 확정금리). 매 1년 경과 후 중도해지시 회전일로부터 1년 경과 시점까지는 정상이율 적용.,실명의 개인,온라인,"* 만기 후 1개월 이내 기간 : 최종 회전이율과 만기 시점 동일 상품 동일 계약기간의 신규 약정금리 중 낮은 금리를 적용
* 만기 후 1개월 초과 이후 기간 : 보통예금 이율(연 0.50%) 적용","비대면 전용상품
최소가입금액: 10만원 이상",5,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
31,페퍼저축은행,회전정기예금 (1년단위 변동금리상품),,4.30%,3.64%,"183,527",4.30%,,복리,6개월,2023-11-03,예금담당자 03180159344 대출문의 15990722,*회전정기예금(회전주기 12개월): 매 1년마다 해당시점 정기예금 1년 금리 +0.1%로 자동연장되는 변동금리 상품(1년 단위 확정금리). 매 1년 경과 후 중도해지시 회전일로부터 1년 경과 시점까지는 정상이율 적용.,제한없음,영업점,"* 만기 후 1개월 이내 기간 : 최종 회전이율과 만기 시점 동일 상품 동일 계약기간의 신규 약정금리 중 낮은 금리를 적용
* 만기 후 1개월 초과 이후 기간 : 보통예금 이율(연 0.50%) 적용",최소가입금액: 10만원 이상,5,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
32,페퍼저축은행,"회전정기예금 (인터넷, 모바일,비대면) (1년단위 변동금리상품)",,4.30%,3.64%,"183,527",4.30%,,복리,6개월,2023-11-03,예금담당자 03180159344 대출문의 15990722,*회전정기예금(회전주기 12개월): 매 1년마다 해당시점 정기예금 1년 금리 +0.1%로 자동연장되는 변동금리 상품(1년 단위 확정금리). 매 1년 경과 후 중도해지시 회전일로부터 1년 경과 시점까지는 정상이율 적용.,제한없음,온라인,"* 만기 후 1개월 이내 기간 : 최종 회전이율과 만기 시점 동일 상품 동일 계약기간의 신규 약정금리 중 낮은 금리를 적용
* 만기 후 1개월 초과 이후 기간 : 보통예금 이율(연 0.50%) 적용",최소가입금액: 10만원 이상,5,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
33,HB저축은행,스마트 6개월 회전정기예금,,4.30%,3.64%,"181,890",4.30%,,단리,6개월,2023-11-03,영업 18338889,해당사항없음,제한없음,온라인,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",스마트폰가입 전용상품 / 계약기간 : 36개월 (회전주기 6개월),4,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
34,HB저축은행,스마트 6개월 회전정기예금,,4.30%,3.64%,"183,527",4.30%,,복리,6개월,2023-11-03,영업 18338889,해당사항없음,제한없음,온라인,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",스마트폰가입 전용상품 / 계약기간 : 36개월 (회전주기 6개월),4,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
35,HB저축은행,e-6개월 회전정기예금,,4.30%,3.64%,"181,890",4.30%,,단리,6개월,2023-11-03,영업 18338889,해당사항없음,제한없음,온라인,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",인터넷가입 전용상품 / 계약기간 : 36개월 (회전주기 6개월),4,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
36,HB저축은행,e-6개월 회전정기예금,,4.30%,3.64%,"183,527",4.30%,,복리,6개월,2023-11-03,영업 18338889,해당사항없음,제한없음,온라인,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",인터넷가입 전용상품 / 계약기간 : 36개월 (회전주기 6개월),4,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
37,HB저축은행,6개월 회전정기예금,,4.30%,3.64%,"181,890",4.30%,,단리,6개월,2023-11-03,영업 18338889,해당사항없음,제한없음,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",영업점 가입 전용상품 / 계약기간 : 36개월 (회전주기 6개월),4,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
38,HB저축은행,6개월 회전정기예금,,4.30%,3.64%,"183,527",4.30%,,복리,6개월,2023-11-03,영업 18338889,해당사항없음,제한없음,영업점,"- 만기 후 1개월 이하: 당초 약정금리와 만기시동일상품 동일계약기간의 고시금리중 낮은 금리 
- 만기 후 1개월 초과: 보통예금 금리",영업점 가입 전용상품 / 계약기간 : 36개월 (회전주기 6개월),4,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
39,대명상호저축은행,행복플러스 정기예금,,4.25%,3.60%,"179,775",4.25%,,단리,6개월,2023-01-13,총무계 0436405117,없음,1954년 이전출생자 및 비과세종합저축가입대상자(만64세이상/국가유공자/국민기초생활보장법에의한수급자/장애인/독립유공자과그유족또는가족/고엽제후유증환자 및 5.18민주화운동부상자),영업점,"- 만기 후 1개월 이하: 약정금리와 동일한 금리 적용
- 만기 후 1개월 초과: 보통예금이율",없음,4,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
40,대명상호저축은행,행복플러스 정기예금,,4.25%,3.60%,"181,374",4.25%,,복리,6개월,2023-01-13,총무계 0436405117,없음,1954년 이전출생자 및 비과세종합저축가입대상자(만64세이상/국가유공자/국민기초생활보장법에의한수급자/장애인/독립유공자과그유족또는가족/고엽제후유증환자 및 5.18민주화운동부상자),영업점,"- 만기 후 1개월 이하: 약정금리와 동일한 금리 적용
- 만기 후 1개월 초과: 보통예금이율",없음,4,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
41,제이티친애저축은행,비대면 정기예금,,4.25%,3.60%,"181,374",4.25%,,복리,6개월,2023-11-10,"경영기획부, 15990060",없음,제한없음,온라인,"-1개월 이내 해지시 : 약정이율 적용
-1개월 초과 이후 해지시 : 보통예금 금리 적용",없음,5,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
42,제이티친애저축은행,비대면 정기예금,,4.25%,3.60%,"179,775",4.25%,,단리,6개월,2023-11-10,"경영기획부, 15990060",없음,제한없음,온라인,"-1개월 이내 해지시 : 약정이율 적용
-1개월 초과 이후 해지시 : 보통예금 금리 적용",없음,5,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
43,오케이저축은행,OK e-안심앱플러스정기예금6 (변동금리),,4.21%,3.56%,"179,652",4.21%,,복리,6개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,제한없음,온라인,"만기 후 1개월 이하: 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율
만기 후 1개월 초과: 연0.1%","*OK저축은행 모바일뱅킹앱 전용상품
*6개월 회전식 정기예금 (3년 만기 정기예금으로 가입 후 매 6개월 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 6개월 경과 후 중도해지 시 가입일부터 6개월 경과 시점까지는 정상이율을 적용함.)",3,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
44,오케이저축은행,OK e-안심앱플러스정기예금6 (변동금리),,4.21%,3.56%,"178,085",4.21%,,단리,6개월,2023-10-31,경영기획부 02-3704-9856 수신 금리문의 : 1899-7979,없음,제한없음,온라인,"만기 후 1개월 이하: 약정이율 혹은 만기시점 해당상품 이율 중 낮은 이율
만기 후 1개월 초과: 연0.1%","*OK저축은행 모바일뱅킹앱 전용상품
*6개월 회전식 정기예금 (3년 만기 정기예금으로 가입 후 매 6개월 마다 해당시점 금리로 자동연장되는 변동금리 상품. 매 6개월 경과 후 중도해지 시 가입일부터 6개월 경과 시점까지는 정상이율을 적용함.)",3,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
45,대신저축은행,스마트정기예금,,4.20%,3.55%,"177,660",4.20%,,단리,6개월,2023-10-16,경영지원부 1644-5600,없음,스마트뱅크 가입고객,온라인,"* 만기후 1개월 이내 : 당초 약정이율과 만기시점 해당상품 신규 약정이율 중 낮은이율
* 만기후 1개월 초과: 만기시점 보통예금 이율 (현재 0.1%)",가입채널 제한 (모바일앱전용상품),4,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
46,대신저축은행,스마트정기예금,,4.20%,3.55%,"179,222",4.20%,,복리,6개월,2023-10-16,경영지원부 1644-5600,없음,스마트뱅크 가입고객,온라인,"* 만기후 1개월 이내 : 당초 약정이율과 만기시점 해당상품 신규 약정이율 중 낮은이율
* 만기후 1개월 초과: 만기시점 보통예금 이율 (현재 0.1%)",가입채널 제한 (모바일앱전용상품),4,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
47,대신저축은행,정기예금,,4.20%,3.55%,"177,660",4.20%,,단리,6개월,2023-10-16,경영지원부 1644-5600,없음,모든고객,모두가능,"* 만기후 1개월 이내 : 당초 약정이율과 만기시점 해당상품 신규 약정이율 중 낮은이율
* 만기후 1개월 초과: 만기시점 보통예금 이율 (현재 0.1%)",없음,4,11,우대사항없음,,,,,,,,,,,,,,,,,,,,
48,대신저축은행,정기예금,,4.20%,3.55%,"179,222",4.20%,,복리,6개월,2023-10-16,경영지원부 1644-5600,없음,모든고객,모두가능,"* 만기후 1개월 이내 : 당초 약정이율과 만기시점 해당상품 신규 약정이율 중 낮은이율
* 만기후 1개월 초과: 만기시점 보통예금 이율 (현재 0.1%)",없음,4,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
49,솔브레인저축은행,정기예금,,4.20%,3.55%,"177,660",4.20%,,단리,6개월,2023-10-26,"경영지원부,051-861-8600",없음,제한없음,영업점,"- 만기후 1개월 까지 : 계약기간별 [가입 시 약정이율과 만기 시 약정이율] 중 낮은이율
- 만기후 1개월 이후 : 보통예금 이율(0.3%)",없음,5,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
50,솔브레인저축은행,정기예금,,4.20%,3.55%,"179,222",4.20%,,복리,6개월,2023-10-26,"경영지원부,051-861-8600",없음,제한없음,영업점,"- 만기후 1개월 까지 : 계약기간별 [가입 시 약정이율과 만기 시 약정이율] 중 낮은이율
- 만기후 1개월 이후 : 보통예금 이율(0.3%)",없음,5,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
51,솔브레인저축은행,정기예금(비대면),,4.20%,3.55%,"179,222",4.20%,,복리,6개월,2023-10-26,"경영지원부,051-861-8600",없음,개인(만19세이상),온라인,"- 만기후 1개월 까지 : 계약기간별 [가입 시 약정이율과 만기 시 약정이율] 중 낮은이율
- 만기후 1개월 이후 : 보통예금 이율(0.3%)",없음,5,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
52,솔브레인저축은행,정기예금(비대면),,4.20%,3.55%,"177,660",4.20%,,단리,6개월,2023-10-26,"경영지원부,051-861-8600",없음,개인(만19세이상),온라인,"- 만기후 1개월 까지 : 계약기간별 [가입 시 약정이율과 만기 시 약정이율] 중 낮은이율
- 만기후 1개월 이후 : 보통예금 이율(0.3%)",없음,5,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
53,솔브레인저축은행,e-정기예금,,4.20%,3.55%,"179,222",4.20%,,복리,6개월,2023-10-26,"경영지원부,051-861-8600",없음,제한없음,온라인,"- 만기후 1개월 까지 : 계약기간별 [가입 시 약정이율과 만기 시 약정이율] 중 낮은이율
- 만기후 1개월 이후 : 보통예금 이율(0.3%)",없음,5,1,우대사항없음,,,,,,,,,,,,,,,,,,,,
54,솔브레인저축은행,e-정기예금,,4.20%,3.55%,"177,660",4.20%,,단리,6개월,2023-10-26,"경영지원부,051-861-8600",없음,제한없음,온라인,"- 만기후 1개월 까지 : 계약기간별 [가입 시 약정이율과 만기 시 약정이율] 중 낮은이율
- 만기후 1개월 이후 : 보통예금 이율(0.3%)",없음,5,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
