상품명,제목,날짜,본문,댓글
경남은행 적금, [경남은행 위더스 자유적금]추천번호 2023018985(서닌쟝 님 추천완료) ,2023.11.11. 16:45,추천 릴레이 부탁드립니다!,['추천진행중입니다']
경남은행 적금, [경남은행 위더스 자유적금] 추천번호 2023017488 (오스칼님 추천완료) ,2023.11.07. 10:29,2023017488 추천해주세요~,['제가 하겠습니다~^^\n다음 분은 제꺼 해주심 될 것 같아요~!\n추천번호 \n2023017606']
경남은행 적금, 위더스 자유적금 가입했습니다(3년 최대 6.75프로) ,2023.11.10. 13:16,"경남은행 위더스 자유적금 가입하고 왔습니다. ​신규우대, 추천인, ESG실천하면 최대 6.75프로까지 가능하네요. ​집에서 조금 멀었지만 무사히 잘 다녀왔습니다. ​릴레이에서 추천번호 받아서 갔다왔는데 혹시 가입하실분은 추천번호 2023018696로 부탁드립니다^^",[]
경남은행 적금, [경남은행 세이브적금] 추천번호 2023016815 부탁드립니다!  (이전글추천완료됨) ,2023.11.03. 12:10,2023016815 추천인번호 입니다!이전글은 추천인 완료되어 추가가불가능하다고 하네요!,[]
경남은행 적금, 경남은행 6% 적금 (대면) ,2023.06.20. 12:58,양덕동금융센터/진해영업소/오동동무인점/신촌동무인점/소계동무인점/월영마을무인점/대방동지점/소답동지점/창원공단지점/북면영업소/김해삼계지점/내외동지점/병영지점/우정동금융센터/호계금융센터​​적금만 보면 충동적으로 가입하는 거 같아요;그래도열심히 넣어야겠어요 😀,"['이 적금 상품 끝난 걸까요? 비대면이라서 24시간인줄 알았는데, 똑같이 4시까지 영업이더라구요']"
경남은행 적금, [경남은행 위더스 자유적금] 추천번호 2023015761 (은하술님 추천완료) ,2023.10.31. 13:44,위더스 자유적금 2023015761 부탁드립니다.,[]
경남은행 적금, [경남은행 위더스 자유적금] 추천인 2023006792 (단설님 추천완료)  ,2023.09.19. 10:04,자유적금 조건이라 더 좋네요. 저는 1년으로 했지만 3년도 좋아보여요.,[]
경남은행 적금, [경남은행 위더스 자유적금] 추천번호2023018762(코스코스부님 추천완료) ,2023.11.10. 13:41,방금 코스코스부님 추천하고 가입하였습니다.추천번호 릴레이 부탁드립니다!,['제가했습니다!']
경남은행 적금, 경남은행 캠퍼스드림 적금 3년 만기 ,2022.06.13. 15:32,"오늘 카페가입했는데때마침 경남은행에 캠퍼스드림적금이라고 만27세까지 가입가능했던 적금이 있는데 3%초반으로 기억하고 있는데오늘 만기가되서 돈들어왔네요 ㅎㅎ보너스들어온 기분입니다ㅎㅎ



 














​​",['만기 축하드려요^^']
경남은행 적금, [경남은행 위더스 자유적금]추천번호 2023019159 (버트너님 추천완료) ,2023.11.13. 11:51,추천했어요,['추천진행중입니다']
페퍼저축은행 적금, 페퍼저축은행 적금 자동이체 누락도 있나요? ,2021.03.08. 16:38,2월8일 페퍼저축은행에서 적금들었고자동이체 해뒀는데 아직까지 돈이 빠져나가지 않았어요통장에 돈도 있는데 이유가 뭘까요?​​,['조금더 기다려보심이. .']
페퍼저축은행 적금, 편의점 적금 with 페퍼저축은행+ CU ,2023.05.27. 10:18,페퍼저축은행 +CU 적금 연6% 이 상품 어떻게 생각하시나요?최대30만원 금액이 아쉽지만 소액적금으로는 금리가 괜찮은것 같아요~● 나의 재테크 목표는?  1단계 재테크 완성 2단계 삶 설계​​● 독한 각오 한마디는? 오늘도  공부하자!!!,['Cu포인트도 주길래 전 들었어용!']
페퍼저축은행 적금, 페퍼저축은행 2030 적금 가입팁! ,2021.03.06. 17:52,안녕하세요.월재연에서 활동 중인 순땡이 입니다.​5% 고금리 적금인 페퍼저축은행의 2030 적금가입을 완료하였습니다.​가입까지 쉽지 않은데 팁을 하나 드리자면 페퍼사의 어플 말고 SB톡톡 어플 통해서 가입하세요. 페퍼사에서 인증서가 옮겨지지 않아서 문의해보니 해당 어플론 신규 상품 가입이 안된다고 sb 어플 통해서 하라고 하네요.​가입이 안되면 왜 어플을 만든 것인지 이해는 되지 않지만 ㅎㅎ sb 통해서 인증서 옮기고 진행하니 보다 수월했습니다.​가입하시려는 분들 참고하세요!,['지금도하나요?ㅜㅜ들어가보니 안나와서요']
페퍼저축은행 적금, 오늘 아침 페퍼저축은행 페퍼룰루2030적금 가입했어요 ^^ ,2021.03.31. 21:23,어제 월재연도 가입하고 등급도 올라서 기쁘네요 ^^오늘 아침에 페퍼저축은행 2030적금 가입했습니다내일부터 4월달인데 혹시 이율이 떨어질수도 있고 상품이 없어질수도 있지 않을까 해서 가입했습니다1년유지 잘해서 내년에 목돈 받아야죠 ^^  저말고도 페퍼저축은행 2030적금 가입하신 분들도 만기까지 목표달성 하시기 바랍니다 화이팅!!!!!!!,['파이팅입니다!!']
페퍼저축은행 적금, 이번에 페퍼은행 적금 가입했네요 ,2021.03.20. 21:18,페퍼은행 적금 가입했습니다! 적금은 총매월 50/50/20씩 저축중입니다.적금은 인생에서 처음입니다 일년후 만기가 되면 통장에 쌓여있을 숫자에 기대되네요,['화이팅입니다 !!']
페퍼저축은행 적금, 저도 페퍼저축은행 2030적금 가입했어요 ,2021.02.26. 17:33,뭔가 무진장 복잡시럽던데....입출금통장이 없어서 일단 임시계좌?? 그런 곳으로 넣고적금통장 개설을 마쳤다는 문자도 받았는데같이 만들었다는 입출금통장을 확인할 방법이 없네요 ㅋㅋㅋ인터넷이 느려서 은행앱이 제대로 돌아가지도 않고암튼 담달까지만 입출금통장 계좌번호를 알면 되니까요.​근데....저 만기되면 어떻게 이체를 시킨다죠???페퍼저축은행에사 타행이체 수수료 무료 조건을 파악해 봐야겠어요.,['sb톡톡 앱을 이용하세요.\n\n그리고 저축은행 계열은 대부분 이체수수료 무료입니다.']
페퍼저축은행 적금, 페퍼 저축은행  2030적금 자동이체 관련... ,2021.02.10. 23:40,안녕하세요 혹시 페퍼저축은행 2030 적금 가입 했는데요저는 자동이체가 설정이 되지 않은거 같은데 이거 어디서 해야하나요.. 죽어라 찾아도 해당 통장에서 자동이체 설정이 안보이네요.. 다들 따로 설정을 하신건가요?​2프로 파킹통장만들고 그걸로 지정한거같은데 반영이 안되어잇네요?,['저 페퍼저축은행 어플에서 가입했는데 가입단계에서 자동이체 설정하는거 있었어요~']
페퍼저축은행 적금, 페퍼저축은행 적금 ,2021.07.13. 09:38,1년전에 들어뒀던 적금 만기날이 다가와서페퍼2030적금 새로 시작했습니다!!​또 열심히 모아봐야겠어요~~,['응원합니다~']
페퍼저축은행 적금, 페퍼룰루 2030적금 특판해요~~ (금리5%/월 30만원한도/12개월) ,2021.03.19. 09:40,"나이제한 없는데 이름이 2030인거 같아요1인 1계좌, 월30만원한도, 12개월, 5% (우대금리포함,자동이체O,마케팅수신동의 전부O)​가입방법 : SB톡톡 어플 → 전체메뉴 → 큰글씨서비스 → 상품조회/가입 → 적금 → 페퍼저축은행 페퍼룰루2030적금 (비대면) 가입​​특판한지 꽤 됐는데 마감이 안된거 같아요~~~~저도 몇일전 가입했어요 전 기존고객이였는데 기존 고객들도 어플 로그인 없이 저 경로로 들어가셔야 적금이 보이더라고요!!​",['감사합니다~~']
페퍼저축은행 적금, 페퍼저축은행 파킹통장 만들라면 입출금통장 또 만들어야되나요? ,2022.12.07. 08:02,지금 페퍼저축은행에 적금이 있는데 페퍼파킹통장을 사용하려면 입출금통장을 또 만들어야되는건가요?​만들면 20일제한 걸리는거죠?,['파킹통장이 입출금통장임 20일제한걸림']
페퍼저축은행 적금, 페퍼저축은행 2030 적금 가입하려구하는데 20일 최근계좌개설 걸리는데 sb톡톡으로 적금 가입가능하나요? ,2021.02.19. 15:15,페퍼저축은행 2030 적금 가입하려구하는데 20일 최근계좌개설 걸리는데 sb톡톡으로 적금 가입가능하나요?​없어지기 전에 ㅎㅎㅎ 5% 만들고 싶어서요​적금만 만들어지면 입출금통장은 20일 지나서 만들수 있자나여~,['대부분 입출금 통장이 있어야 적금통장이 만들어지더라구요']
페퍼저축은행 적금, 페퍼저축은행 질문드립니다. ,2021.06.05. 14:18,"카뱅, T이득, 네이버통장 정도로 1금융이나 나름 유명한 파킹통장만 쓰고 있었는데요.카페에서 보니 페퍼룰루 파킹통장을 많이들 하시더라구요.확실히 이율은 우와 싶을 정도긴한데, 페퍼저축은행이라는 곳자체를 완전히 처음들어본데라 좀 걱정도되고 찜찜한것도 있네요.저축은행이면 2금융권인가요? SBI나 웰컴저축은행은 많이들어봤는데 페퍼저축은행은 처음이네요.솔직히 1금융권 이외에는 대출은 물론이고 예,적금조차 해본적이 별로 없습니다.페퍼저축은행도 예금자보호는 다되는건가요? 주의해야할점은 없는지도 궁금합니다.그리고 이외에도 괜찮은 파킹통장이 있으면 추천부탁드립니다.","['페퍼저축은행 저축은행이에요\n2금융에속하구요\n페퍼저축은행 튼튼해요.\n이번에 여자배구 신생팀도 창단했어요.\n저도 지금 계좌개설하고싶은데 아직 20영업일이 지나지않아 못하고있네요😭\n예금자보험 원금,이자포함 5천까지됩니다.']"
페퍼저축은행 적금, 페퍼  저축은행 적금 개설 문의요. ,2021.06.11. 14:18,비대면 입출 개설하고 적금 가입했는데요.​가상계좌로 입금 하라  해서 개설 되었는데 자동이체가  되지않나요?   아님 처음만 가상계좌로 입금 하고 그담 부터는 자동이체 되나요? 궁금 하네요.​적금이자 5%먹기가 넘 힘드네요.​고수님들 답변부탁 드려요.,['이런 것도 있나요?']
페퍼저축은행 적금, 페퍼적금 가입방법! ,2021.02.11. 00:58,"안녕하세요.저 역시도 가입했는데요.저도 페퍼저축은행 처음 가입하는 거라서, 맨 처음에 구글스토어에서 페퍼저축은행 app를 받고가입을 하려다가 보니까, 자동이체 설정, 입출금 통장 만드는 것이잘 안 되더라고요.페퍼저축은행에 전화해보니까, 잘 명확하게 대답을 안 해 주시고페퍼저축은행app 이랑 SB 톡톡 앱이 있더라고요SB 톡톡 은행 입은 저축은행끼리 묶어 논 app 인 것 같은데거기서 페퍼입출금 통장 만드시고, 적금 만드시는 것이 좋을 것 같습니다.대신 다른 적금과 달리,  OTP가 필요했는데, 저는 다른 은행 OTP 있는 거 활용했습니다.그리고 가입할 때는 가상계좌(?)에 입금하라는 문자가 옵니다. 거기에 입금 하면 이제 계좌가 완성되는 것처럼 보이더라고요.  ​요약 1) SB 톡톡 app 에서 입출금 통장 만들고, 페퍼저축은행 선택 후 가입 가능2) OTP 필요... ​​",['실물 otp가 없는 경우 적금 가입이 안되나요? 여지껏 한번도 그런적 없어서 실물 otp가 없는데 당황스럽네요.']
페퍼저축은행 적금, 처음 적금 가입시작한 직장인 페퍼룰루2030 적금 자동이체 질문드립니다. ,2021.12.30. 08:32,"적금을 이제 막 가입시작한 직장인입니다.​제가 월급 받는 은행은 신한은행이고 어제 페퍼룰루 2030 적금을 가입하고 오늘 30만원을 가상계좌로 넣어서 개설을 완료한 상태입니다.​페퍼룰루 2030 우대조건에 자동이체를 6회이상 할 시에 1.0%의 금리가 추가된다고하여 이거를 적용하려고 합니다.​이제부터 여기가 문의 내용입니다.​1. 제가 월급 받는 통장인 신한은행에서 바로 페퍼룰루 2030 적금 계좌로 자동이체를 걸어놓으면 1.0% 금리가 추가되는게 아닌가요?​2. 아니면 페퍼저축은행 입출금 계좌에서 페퍼룰루 2030 적금 계좌로 자동이체를 걸어놓으면 1.0%의 금리가 추가되는건가요?​3. 만약에 2번이 정답이라면 제 신한은행에서 페퍼저축은행 입출금 계좌로 자동이체를 걸어놓고, 그 다음에도 페퍼저축은행 입출금 계좌에서 페퍼룰루 2030 적금 계좌로 자동이체를 걸어 놓으면 우대 조건이 성립하는 건가요?",['페퍼 계좌에서 페퍼 적금으로 이동시켜야합니당 자동이체루요!']
페퍼저축은행 적금," 페퍼저축은행, 2년간 1100억대 불법대출 취급 ",2022.09.21. 08:43,"저축은행 업계 5위인 페퍼저축은행이 지난 2년여간 1100억원대 불법 ‘작업대출’을 취급한 것으로 확인됐다. 작업대출은 가계대출 규제를 우회하기 위해 대출모집인이 서류를 조작하고, 이를 기반으로 회사가 개인사업자 대출을 내주는 수법이다. 업계에서 대규모 불법대출이 적발된 것은 이번이 처음인 만큼 중징계를 받을 수 있다는 게 업계 시각이다.​https://m.news.nate.com/view/20220921n03387



 








[단독]페퍼저축은행, 2년간 1100억대 불법대출 취급 | 네이트 뉴스
경제>금융/증권 뉴스: [이데일리 서대웅 기자] 저축은행 업계 5위인 페퍼저축은행이 지난 2년여간 1100억원대 불법 ‘작업대출’을 취급한 것으로 확인됐다. 작업대출은 가계대출 규제를 우회하기 위해 대출모집인이 서류를 조작하고, 이를 기반으로 회사가 개인사업자 대출을 내주는...
m.news.nate.com






 



​오늘 기사입니다",['저축은행에 5000 이상 넣어두면 안 되는 이유.txt']
페퍼저축은행 적금, sb톡톡 통한 페퍼저축은행 가입 중 질문드려요~ ,2021.03.02. 18:32,SB톡톡으로 적금 가입하고입출금통장으로 돈을 이체하려고 하는데..아무리 일반은행에서 이체 칸을 뒤져도 페퍼저축은행이라고 명시되어있지 않는데다들 어떻게 페퍼저축은행으로 이체하셨나요?​,['저축은행으로 선택해서 이체했습니다']
페퍼저축은행 적금, 2021/4/14 적금 현황 (웰컴2+페퍼+신협2) ,2021.04.14. 15:49,"1. 사이다뱅크 자유적금 (과세) 21/3/29 만기해지실제 이자 +24,599원내 돈주 5만원 월복리 2.1%2021/3/29 만기 (동생 축의금 목적)원금 2,600,000원예상 이자 23,245원- 재테크에 큰 관심 없을 때 시작했던거라 이율이 낮은 걸 그냥 들어서 아깝네요ㅠ.ㅠ​​2. 웰컴저축은행 첫거래우대 m정기적금 (과세)내 돈월 30만원 (1년)단리 3.2+1% (우대금리 성공 예상)2022/2/10 만기원금 3,600,000원예상 이자 69,287원연수익률 약 1.92%​​3. 페퍼저축은행 2030적금 (과세)아이 돈월 30만원 (1년)단리 3.5+1.0% (최대 5%상품, 0.5는 마케팅 수신 미동의로 포기)2022/3/15 만기원금 3,600,000원예상 이자 74,236원연수익률 약 2.06%​​4. 웰컴저축은행 웰뱅하자 정기적금 (과세)아이 돈월 20만원 (1년)단리 1.5+3.5%2022/3/15 만기원금 2,400,000원예상 이자 54,990원연수익률 약 2.30%​​5. 창원늘푸른신협 e-파란적금 (저율과세)신랑 돈월 100만원 (1년)단리 3.9%2022/4/14 만기원금 12,000,000원예상 이자 249,951원연수익률 약 3.57% -선납이연​​6. 창원늘푸른신협 유니온정기적금 (저율과세)신랑 돈월 30만원 (24개월)단리 4.023%2023/4/14 만기원금 7,200,000원예상 이자 297,279원연수익률 약 3.81% -선납이연​​​",['신협 늘푸른 적금  지금이라도 선납이연 될까요?']
페퍼저축은행 적금," 21/3/15현재 적금-4개 (사이다,웰컴2,페퍼) ",2021.03.15. 00:27,"​1. 사이다뱅크 자유적금 (과세)내 돈주 5만원 월복리 2.1%2021/3/29 만기 (동생 축의금 목적)원금 2,600,000원예상 이자 23,245원- 재테크에 큰 관심 없을 때 시작했던거라 이율이 낮은 걸 그냥 들어서 아깝네요ㅠ.ㅠ​​2. 웰컴저축은행 첫거래우대 m정기적금 (과세)내 돈월 30만원 단리 3.2+1% (우대금리 성공 예상)2022/2/10 만기원금 3,600,000원예상 이자 69,287원- 웰뱅에 웰뱅하자 정기적금 이율이 좋아서 이번 달 안에 또 시작할듯해요!​​3. 페퍼저축은행 2030적금 (과세)아이 돈월 30만원단리 3.5+1.0% (최대 5%상품, 0.5는 마케팅 수신 미동의로 포기)2022/3/15 만기원금 3,600,000원예상 이자 74,236원​​4. 웰컴저축은행 웰뱅하자 정기적금 (과세)아이 돈월 20만원단리 1.5+3.5%2022/3/15 만기원금 2,400,000원예상 이자 54,990원 (1번 사이다 적금 비교해보면 3만원 떡사먹었네요ㅠㅠ)​​",['웰컴으로 하나 만들어야 하나? 이율 좋은데요?']
페퍼저축은행 적금," [페퍼저축은행] CU 제휴적금 연 6.0%, 6개월, 월 최대 30만원 납입 ",2023.05.22. 15:12,"https://digital.pepperbank.kr/web/ev/pe/WEVPE12000.view?evntNo=EV2023050801&utm_source=naver&utm_medium=bs&utm_campaign=PC&utm_content=%ED%83%80%EC%9D%B4%ED%8B%80&n_media=27758&n_query=%ED%8E%98%ED%8D%BC%EC%A0%80%EC%B6%95%EC%9D%80%ED%96%89&n_rank=1&n_ad_group=grp-a001-04-000000025917617&n_ad=nad-a001-04-000000245188302&n_keyword_id=nkw-a001-04-000004356801432&n_keyword=%ED%8E%98%ED%8D%BC%EC%A0%80%EC%B6%95%EC%9D%80%ED%96%89&n_campaign_type=4&n_contract=tct-a001-04-000000000678213&n_ad_group_type=5



 








페퍼스 제휴적금 with CU
최고 연 6% 적금 들고, CU포인트와 쿠폰까지 받아요!
digital.pepperbank.kr






 



​","['페퍼에 입출금통장  있어야하는데, 최근1개월이내 개좌개설 이력있어서 가입제한 걸렸네요ㅜㅜ']"
한국투자저축은행 적금, 우리은행 4.66% / 한국투자저축은행 6.5% 1년예금 만기됐어요. ,2023.10.24. 11:18,"우리은행 1억-이자 3,963,974원 (쫄보라서 이렇게 했는데 이번에는 새마을 금고에 분할 예금 입니다.)​ 한국투자저축은행 2천만원-이자1,139,200원​​



 














모두 모두 예적금 만기 축하드립니다.",['우와..부러워요!! 축하드려용 ㅋㅋ']
한국투자저축은행 적금, 한국투자저축은행 연6% 특판적금 출시예정 ,2022.07.12. 01:13,"​​가입기간 : 7월13일 ~ 9월28일 ​( 매주 수요일 오전9시부터 당일 선착순 1212명에게 12주간 총1만 4544명을 대상으로 판매된다. )​적금기간 : 6개월가입금액 : 1만원 ~ 20만원 선착순 1,212명 ​한국투자저축은행에서 출시한 연6% 특판적금 출시예정 ​별도의 우대조건없이 ""키뱅크"" 설치 후 가입하면 별도의 조건없이 연6% 정기적금 금리 혜택을 받을수 있다.​​



 














(출처: 네이버 인터넷 기사)​자세한 사항은 인터넷에 검색 해보세용 ~ ​​​​",['새로 만들려면 20일 개설 제한에 걸리겠죠? ㅠㅠ']
한국투자저축은행 적금, 한국투자저축은행 비대면 회전정기예금(복리) ,2023.10.23. 18:43,"작년 이맘때쯤 카페보고한국투자저축은행 비대면 회전정기예금(복리) 36개월 가입했습니다.​화면에서 보시다시피 12.36개월은 6.5프로24개월은 회전도래시점의 변경된 공시이율로 이해하구 가입했어요.​현재같은 기준금리에 4프로대 이율도 어이없는데24.10.21일이후~ 만기까지도 6.5프로가 아닌지금같은 변동 이율이 적용되는게 맞을까요?



 














​​​​",['와.. 이걸 캡쳐해 놓으셨어요? ㅎㄷㄷ\n더 낮아질 수 있죠 아무래도']
한국투자저축은행 적금, 한국투자저축은행 전용계좌 입금됨 8:44분 ,2023.10.23. 08:01,21일 만기 돈 들어온분 있나요?​SB에서 계좌가 사라지고 돈도 안들어왔어요.뭐죠.ㅜ​전용계좌는 계좌가 사라지니까 설마 그럴 일은 없겠지만 불안하네요.,['저도 같은 상황입니다. 영업시간 아니라 전화도 안받네요']
한국투자저축은행 적금, 한국투자저축은행 계좌 ,2023.10.23. 09:29,예금이 입금되셨다는분도있던데​저는 예금 및 입출금통장이 아예 사라졌어요​이런분 계신가요?​고객센터는 연결도안되고,['저도 아예 사라지고 입금도 안되었어요. 게시글과 댓글을 보니  순차적으로 들어오겠거니 하고 기다리고 있답니다.(말은 이리하나 현재 속타죽음.ㅠㅠ)']
한국투자저축은행 적금, 한국투자저축은행 예금 문의 답변 부탁드립니다 ^^;; ,2023.10.20. 17:18,"작년에 SB 톡톡 통해서 6.5퍼로 2년으로 가입한 상품인데 다올처럼 회전식인지 아니면 그냥 2년 만기로 가져가는 상품인지 헷갈리네요 ㅜㅜ ​



 














이 예금이구요~ 회전이란 단어는 없는데 혹시 어떤 방식인지 아시는분 답변 부탁드립니다 복받으실 거예요~~~^^",['저도 이거 있는데 2년 만기로 알고 있어요 1년으로 해지 조회해보면 3.5퍼인가\n밖에 적용 안되더라구요']
한국투자저축은행 적금, 저축은행 20일제한ㅠㅠ ,2022.10.24. 18:31,한국투자저축은행 적금 해지했는데 20일제한걸리네요ㅠ보통예금도 해지했는데  안되는건가요?ㅠ,['해지하면 해제 되는거 아닌가요? 그렇게 알고 해지하려하는뎅']
한국투자저축은행 적금, 한국투자저축은행 건전성? 위험 여부 질문드립니다. ,2022.11.10. 23:48,"한국투자저축은행 6.5%, 6% 예금상품에 가입되어 있습니다.강원랜드 PF 대출 관련 논란 등으로 요즘 저축은행들의 위험성 뉴스가 많이 나오네요.​한국투자저축은행이 유동성, BIS 비율이 메이저 치곤 불안하다고 나오고...오늘은 이자비용 문제있는 은행 중 하나로 포함되어 있구요.​SBI는 그래도 저축은행 1위라 그나마... 덜 걱정됩니다만...한국투자저축은행 금액을 모두 빼서 1금융권 국민은행 4.96% 정기예금으로 바꿀지...IBK 중금채 5.23?% 상품으로 바꿀지 계속 고민이 되네요.​조언 부탁드립니다~",['한투 망한다고 혹시나 혹시나 혹시나 가정해도 금방 인수되서 우리 예금 찾을땐 고스란히 다 챙겨 받을거에요']
한국투자저축은행 적금," 한국투자예금,수협아이적금 만기됐어요 ",2023.10.24. 06:58,"한국투자 1000만원 1년 금리 6.5% 만기됐어요 이자원금 자동입금 됐네요세후이자 566,588원 받았어요~~~​​​



 







 














​수협 아이적금 월10만원 5년 금리5.5% 만기만기라 갔더니 한달을 덜 넣었네요 ㅜㅜ 그래도 우대금리♡세후이자 707,571원  받았어요~~~​​​​​내일도 만기가 2건 있어서넘 행복해요 ♡♡♡",['만기 축하드려요^^ 수협 아이적금 줄서서 가입했는데 저는 내년만기예요ㅎㅎ 오늘 만기 돌아오시는분 많으실거예요^^']
한국투자저축은행 적금, 한국투자저축은행 만기라 수협 예금 가입할라고했더니...망했네요. ,2023.10.23. 08:59,수협 도전하시는분들 화이팅 입니다!,['수협 금방 끝나나요?']
한국투자저축은행 적금, 한국투자저축은행 예금 주말 만기 돈은 빠져나갔는데 연결통장으로 안들어온 경우 ,2023.10.23. 08:12,제목 그대로 예금이 자동만기 되었는데 연결계좌로 돈이 안들어왔습니다. 오픈뱅킹 통해서 확인해보면 1000만원은 빠져나갔는데 연결계좌엔 안들어와있고....매우 당황스럽네요....ㅠㅠ​,['어머나 저희 남편도 똑같은 상황이에요. 이게 한투 문제인가요오전 9시에는 바빠서 전화를 못 하는데']
한국투자저축은행 적금, 한국투자저축은행 만기 후 선택 관련입니다. ,2023.10.23. 10:51,"오전 9시 20분 경에 연결계좌로 6.5% 입금되었는데, 계속 예치하려면 지역 새마을금고 특판(세화 5.1%)이나 신협 저율과세 적용된 4.95% 양천신협으로 선택하시는지요.​ 당시 6.5%가 많이 높았었네요.",['저는 영광수협 발산역지점 내일 특판예금 도전해보려고요 5.5%']
