상품명,제목,날짜,본문,댓글
조은저축은행 예금, 조은 저축은행 3.4%(정기예금) ,2022.05.24. 09:48,참고하세요,['저축은행도 금리가 계속 상승중이네요']
조은저축은행 예금, 조은저축은행 가입하다가 보통예금이 만들어졌네요ㅠㅠ ,2021.12.28. 11:19,전용계좌입금인줄 알았는데 보통예금이 만들어졌습니다.어플로 해지하는법도 없고 이것때문에 신협보통예금 계설막히네요..이거 해지하면 신협보통예금계좌 만들어질까요...망했네요 ㅠㅠ 20일간 묶여버린것같네요..,['해지하면 풀려요']
조은저축은행 예금, 청년희망저축 6% + 케이뱅크 코드k 5% + 수협 서초강남 특판 6% 등등 돈모으는 재미에 빠졌습니다~! ,2022.07.14. 10:16,"불과 작년 1월만해도 적금 통장이라고는 청약저축 밖에는 없었는데 요즘은 특판 적금 여러개 만드는 재미로 살고있네요~(소액이긴하지만..;;)​​



 





















 



​​올해 2월 신랑과 저 둘다 청년희망저축 대상자에 해당되어서 50만원씩 2년동안 기본 5%이율에 우대이율 + 정부지원금까지! 출발이 좋았네요~그 이후에 조은저축은행 3.4% 예금통장에 500만원 소액도 1년 들고코드 k 자유적금은 월 30만원씩 3년짜리 들었어요~이번에 수협 특판으로 나온 50만원 1년 6%까지 가입 끝!​7%적금이나 4%예금 상품 더 많이 나왔으면 좋겠어요~~​​



 
















 



​​특판은 아니지만 경조사비용 마련을 위해 홀수달마다 가입한 계좌가 현재 5개 이율은 카뱅은 적금가입을 할 수록 늘어나더군요~ 그리고 용돈에서 따로 가입한 토스 키워봐요 적금까지!​예전엔 돈 모으는 재미보다는 쓰는 재미가 훨씬 컸다면 지금은 비슷해 진거같아요앞으로는 돈 쓰는것보다 모으는 재미에 빠져보고싶습니다~!만기되서 이자를 받으면 모으는 재미가 더 늘어나겠죠?​​",['멋지세요 응원합니다 저도  도오전']
조은저축은행 예금, 우리금융저축은행 괜찮나요? ,2022.03.22. 10:06,"혹시 우리금융저축은행에 예금이나 적금 드신분 계시나요?만기된 금액이 있는데 다시 재예치를 하려고 합니다.카페에 검색해보니 신협게시글이 많긴한데 뭔가 복잡한느낌이.. 그리고,,, 얼마전에 계좌개설해서 입출금 개설하려면 20일을 기다려야 하네요 (4월중순,,)​우리금융저축은행에는 입출금 통장이 있어서 가입은 가능할거 같은데..예금이율이 2.5%더라구요..예전에 만들어놓은거라.. 괜찮을까 싶기도 하고 ..남들 다있는 토스파킹통장도 어제야 알아서 가입도 안되고..어찌해야 할까요? 그냥 일반통장에 뒀다가 4월에 가입하는게 나을까요?","['저축은행은 SB톡톡 앱에서 입출금개설 없이 예금 가입 가능 하고요.오늘 기준 2.8% 가능합니다(CK. NH, 키움, 조은, 상상인플러스)']"
조은저축은행 예금, 6개월 예금 4.5%or4.6%(통장개설 20일 제한 상태서 진행 하세요-이미 감옥이신분들은 바로진행 가능) ,2023.09.07. 23:16,"아래 어플 다운 받으시고,  순서대로 진행 가입하세요.",['20일 제한상태에서 하라는게 무슨의미인가요? 이해를못했어요ㅠ']
조은저축은행 예금, 비대면 예금 시 생성된 보통예금 해지하면 없애면 20일 제한 없어지나요 ㅠ ,2022.10.18. 11:28,비대면 예금 시 생성된 보통예금 해지하면 없애면 20일 제한 없어지나요 ㅠ,['연결된 예금이 있는 상태에서 \n입출금통장 해지가 될 지 모르겠지만\n예전에 고려저축은행은 입출금통장 해지했더니\n20일제한 풀렸습니다']
조은저축은행 예금, 상상뱅크 정기예금 2.03% (우대시 2.33)지점 ,2021.05.04. 00:42,"상상뱅크 정기예금 최고금리가 2%에서 2.03%로 한달여만에 올라갔네요.우대이율 적용시 2.33입니다.​서울- 성동(성동우리, 금호)전북- 익산(원광), 전주(전주송천)제주- 제주(참조은)대구- 남구(하나, 이천), 달서(성서, 대성), 동구(해안)         북구(북구),서구(더조은,비산,만평,와룡)",['좋은정보 감사합니다']
조은저축은행 예금, 만기 축하 ,2022.01.26. 01:53,조은 저축은행 6개월 정기예금 만기^^,[]
조은저축은행 예금, 조은저축은행 1년 3.4% ,2022.05.24. 11:40,"조은저축은행 1년 3.4% 면 이율 부분에선 단리인 새마을금고, 신협보다실수령 이자가 더 많은거니 괜찮은것 같아요.경영공시도 맹신하면 안되지만 그렇게 나쁘지 않고,따로 특판도 아니어서 상시 진행일것 같아요~",['저축은행 한번도 거래안해봐서 문의 하러 영업점 전화 했는데..죽어도 연결이 안되요..\n가입 방법 간단히 부탁드려요.']
조은저축은행 예금, 뱅뱅뱅 이벤트위해 가입한 통장 해지방법 있을까요? ,2021.12.31. 07:29,매일 이벤트 열심히 시도했는데역시 꽝이네요ㅜ확실한 5프로 적금을 가입하는게 맞았네요혹시 입출금통장 해지 방법 아시는 분?통장해지하면 20일제한 풀리나요?,"['이자모아태산님의 ""저축은행 보통예금개설 해지하니깐 풀리네요."" 참조하세요.여기 바로 아래글 ""조은저축은행 가입하다가 보통예금이 만들어졌네요ㅠㅠ"" 처리한 글입니다.']"
조은저축은행 예금, 조은저축은행 6개월 6% 나왔네요 ,2022.10.26. 08:02,​지금 중도해지예금(4.8%)에 나눠 넣어 놨는데조금더 기다려야 하나 고민중이네요^^,"['좋기는 한데, 어제 새마을금고 6개월 8%의 임팩트가 너무 쎄서리.']"
조은저축은행 예금, 참저축은행 12개월 복리 3.35(비대면) ,2022.05.26. 09:02,sb+ 어플에서 조은꺼 놓치고 찾다가 참저축은행 가입했네요맨날 도움만 받아서 저도 올려봅니다^^,['감사합니다\n저축은행이 종류가 많네요']
조은저축은행 예금, sb톡톡 가입후 20일제한?ㅠㅠ ,2022.05.29. 20:08,최근~sb톡톡 가입했는데...보통통장은 인터넷전용계좌 이며~정기예금 가입가능 하다해서 했는데....​​지금~보니신협 on뱅킹에~20일제한 뜨네요ㅠㅠㅠㅠ​왜그럴까요?​sb톡톡을 해지하면 되려나요?ㅠㅠ 망했습니다.,['거꾸로 이해하셨던 거네요 타은행에서 입출금을 개설하여 20일 제한인 상태에서 sb톡톡에서 예적금 가입 전용 계좌 개설이 가능한 것입니다']
스마트저축은행 예금, 스마트 저축은행 5년과 50개월 (연6.25% 복리) 예금 가입 했습니다. ^^ (마감) ,2022.10.25. 03:17,"슈엔슈님 블로그글에서 스마트 저축은행 관련글보고 장기 예금 상품 찾던중 마음에 들어 5년, 50개월 2개의 예금에 가입했습니다.  36개월-60개월까지 비대면 가입시 연 6.25%(복리)라고 합니다. 자세한 내용은 슈엔슈님 블로그글  검색해보세요. SB톡톡 처음이라 힘들었지만 5년간 푹 묵혀둘걸 생각하니 속이 시원합니다. 편안한 밤 되세요. ^^​​",['5년도 있었네요 ㅎ 저도 천만원만 들려구요 감사합니다~^^']
스마트저축은행 예금, 스마트저축은행으로 돈을 보내려고 하는데... ,2023.09.09. 23:18,예금 이자 높은 곳 알아보다가 스마트 저축은행이라는 곳을 발견해서 방금 계좌만들고거기로 돈 보내려고 하는데 없네요...?어디로 보내면 되는건지 혹시 아는 분 계신가요 ㅠㅠ,['모든 저축은행은 입금시 SB 저축은행  사용합니다.']
스마트저축은행 예금, SBI저축은행 예금 연 2.7퍼센트 ,2021.09.02. 21:11,"SBI 저축은행 강남지점으로부터 아래와 같은 문자를 받았읍니다. 회전정기예금비대면 가입시 연 2.7퍼센트 이율이라고요. 회전 가입하셨다가 1년후 금리 안  좋으면 손해없이 해지하실 수 있습니다. 금리가 확실히 상승 중이네요.​SBI회전정기예금 비대면 채널 가입시 0.2% 우대금리 적용★​ SBI회전정기예금 최대 연 2.7% (2021.09.03 기준, 세전)    [비대면 채널(인터넷뱅킹, 스마트뱅킹, SB톡톡+가입기준]​☞ 회전정기예금 최대 연 2.7% VS 12개월 정기예금 최대 연 2.6%",['sbi어플에서도 가입가능한거죠? 아까들어가보니 그 이율이안떠서  안되나 했는데  내일부터라 그랬나봅니다']
스마트저축은행 예금, 스카이 저축은행 정기예금 어떨까요? ,2021.04.19. 18:07,시중은행 예금금리 1.1%밖에 안되서 저축은행 금리 알아봤는데스카이 저축은행과 스마트 저축은행이 금리1.8%네요다른 저축은행은 sb톡톡플러스 어플깔아서 스마트폰 뱅킹만 되는데 제가 스마트폰뱅킹을 비선호해서 서울 지점에 직접가서 인터넷 뱅킹 신청하려는데스카이 저축은행이랑 스마트 저축은행 어떤가요?인터넷 검색하면서 처음 본 저축은행입니다​그리고 저축은행은 다 5천만원까지는 예금자 보호되죠?은행당 각각 5천만원이고요?소심해서그런데 회원님들의 친절하신 조언 부탁드립니다,['은행당 예금자 보호 되요.몇개월전 2.24에서 1.8로 많이 떨어진 시기입니다.금고쪽 추천해요.정보교환 새마을금고 게시판쪽에 가시면 정보있어요.요즘 최고금리 2.0+0.3 입니다.비대면 비선호시라면 대면 금리 높은 곳 정보도 있어요1.8보다는 높아요.']
스마트저축은행 예금, 타지역 저축은행 예금 가입시 ,2022.10.25. 10:44,광주에 있는 저축은행에 예금할 경우에혹시 문제가 생기면 광주까지  가야하나요?본점이 광주에 있고 지점은 부천.대치동에도 있는데.타지역으로 가야하는거면  그냥 포기하려구요.실제로 경험해 보신 분 계신다면 알려주시면 감사하겠습니다.,['스마트저축은행말씀하시는거 같은데..']
스마트저축은행 예금," 저축은행 적금,예금 ",2021.09.15. 17:21,"1. 웰뱅하자 정기적금(웰컴디지털뱅크) 5% 2. 웰뱅 잔돈자동적금(웰컴디지털뱅크) 3.5%3. 복리m-정기예금(웰컴디지털뱅크) 2.12 %4. 스마트 정기예금 복리식(ES저축은행)2.1%​ 저축은행에서 적금, 예금 가입하고 있습니다.작년에 가입한 상품이라 현재기준보다 이율이 낮지만 올해 만기되면 다시 재 가입할 생각입니다!",['오~ 금리좋을 때 잘 만드셨네요~']
스마트저축은행 예금, 스마트저축은행 어떤가요? ,2021.07.15. 14:39,1년 정기예금 이율이 2.35%던데요  우량저축은행 순위가 있던데요 스마트저축은행은 괜찮을까요?5천까지 예금자보호 되니깐 걱정안해도 되겠죠,['그러게요 이율이 넘 높아서 저도 궁금한데..정보가 거의 없네요ㅠㅠ']
