,금융회사,상품명,적립방식,세전이자율,세후이자율,세후이자(예시),최고우대금리,실질이자율,이자계산방식,기간,이자지급,비교 공시일,담당부서 및 연락처,우대조건,가입대상.1,가입방법,만기후 이자율,기타유의사항,등급,cluster_num,우대사항정리,급여이체,마케팅동의,자동이체,카드실적,최초거래,주택청약,비대면,영업점,해당은행,이체횟수,만기,변동금리,이벤트,기타,나이,환경,신혼,반려인,직장인,여행
10,OK저축은행,OK세컨드통장,,0.03,,,0.04,,,500만원초과,매 월 셋째 주 토요일 다음날,,,은행앱사용,"실명의 개인 (개인사업자 포함), 1인 1회 1계좌 개설 가능
※ OK읏통장(OK e-읏통장)보유자 추가개설 불가",상관없음,,"계좌에 압류, 가압류, 질권설정 등 사고신고가 등록된 경우 원금 및 이자 지급 제한/예금잔액증명서 발급 당일 잔액변동 불가
원단위 미만은 절사합니다. 결제되지 않은 타행수표 등은 최종 잔액 산출 시 제외합니다./발생이자 계산 시 연 일수는 평년 윤년에도 불구하고 365일로 나눕니다.
상품 가입 시 금융감독원의 금융사기 피해예방의 일환으로 증빙서류를 통해 금융거래목적을 확인하며 개설 목적 등 검토 후 가입이 제한될 수 있습니다.",3,,* 해당은행 : 0.5% [시중은행(저축은행 제외)/증권사 앱(APP)에서 제공하는 오픈뱅킹에  OK세컨드통장 등록],,,,,,,,,0.5%,,,,,,,,,,,
11,다올저축은행,Fi 자산관리통장,,0.026,,,0.038,,,30000만원미만,"• 매월 셋째주 토요일을 결산기준일로 하여 결산기준일 익일에 원금에 가산
• 결산기준일 익일부터 결산기준일까지의 기간을 이자계산 기간으로 하고, 매일 최종 잔액에 대하여 영업점에 게시한 이율로 계산",,,,개인(1인 1계좌),상관없음,,"- 계약 체결 전 상품설명서 및 약관을 확인하시기 바랍니다.
- 해당 상품에 대해 충분한 사전 설명을 받을 권리가 있으며, 설명을 이해한 후 거래하시기 바랍니다.
- 최근 20영업일 이내 타금융회사 수시입출금식예금을 개설한 경우 본 상품의 가입이 제한됩니다.
- 제한사항 : 계좌에 압류, 가압류 등이 등록될 경우 원금 및 이자지급 제한, 예금잔액증명서 발급 당일 잔액변동 불가 등",3,,우대사항없음,,,,,,,,,,,,,,,,,,,,
12,다올저축은행,Fi 자산관리통장,,0.038,,,0.038,,,30000만원이상,"• 매월 셋째주 토요일을 결산기준일로 하여 결산기준일 익일에 원금에 가산
• 결산기준일 익일부터 결산기준일까지의 기간을 이자계산 기간으로 하고, 매일 최종 잔액에 대하여 영업점에 게시한 이율로 계산",,,,개인(1인 1계좌),상관없음,,"- 계약 체결 전 상품설명서 및 약관을 확인하시기 바랍니다.
- 해당 상품에 대해 충분한 사전 설명을 받을 권리가 있으며, 설명을 이해한 후 거래하시기 바랍니다.
- 최근 20영업일 이내 타금융회사 수시입출금식예금을 개설한 경우 본 상품의 가입이 제한됩니다.
- 제한사항 : 계좌에 압류, 가압류 등이 등록될 경우 원금 및 이자지급 제한, 예금잔액증명서 발급 당일 잔액변동 불가 등",3,,우대사항없음,,,,,,,,,,,,,,,,,,,,
13,NH저축은행,NH FIC-One 보통예금,,0.03,,,0.038,,,5000만원이하,"매월 첫 영업일
보통예금 최초 신규일 또는 매월 1일부터 말일까지의 기간을 이자계산 기간으로 하고, 기간중 매일의 최종잔액에 대하여 당행 비대면 채널(인터넷 홈페이지, 모바일뱅킹)에 고시한 이율로 계산하여 적용",,,,만 19세 이상의 개인(본인 명의의 휴대폰 보유자),온라인,,"■ 계약 체결 전 상품설명서 및 약관을 반드시 확인하시기 바랍니다.
■ 「금융소비자 보호에 관한 법률」 제19조 제1항에 따라 해당 상품에 대해 충분한 사전 설명을 받을 권리가 있으며, 설명을 이해한 후 거래하시기 바랍니다.
■ 본 설명서는 「금융소비자 보호에 관한 법률」 제 19조 제1항, 동 법 시행령 제 14조 제1항, 제3항에 따라 금융상품에 관한 중요한 사항을 이해 하기 쉽도록 설명하기 위해 설명을 하기 전에 제공되는 자료로써, 상담일 이후 가입금액 등 변경에 의하여 일부 내용이 달라질 수 있습니다.
■ 본 상품의 금리는 변동 될 수 있으며, 변동시 영업점 및 비대면 채널에 고시됩니다.
■ 본 상품의 특약 및 상품설명서에 의거 간편결제(Pay) 업체가 제외될 경우 변경일 1개월 전에 비대면 채널에 게시하나, 간편결제(Pay) 업체 폐업 등 부득이한 사유가 발생할 경우 비대면 채널에 즉시 게시하고 게시 내용은 1개월 이상 유지합니다.
■ 본 상품 가입시 금융감독원의 금융사기 피해 예방의 일환으로 금융거래목적 확인을 위한 증빙서류 제출이 필요할 수 있으며, 개설 목적 등 검토 후 가입 제한 될 수 있습니다.",2,,"

* 마케팅동의 : 0.2% [개인(신용)정보 수집이용 제공 동의(상품서비스 안내 등) 및 상품 서비스 안내 수단으로 문자 포함 채널 1개 이상 동의시]
* 자동이체 : 0.3% [이 예금을 연결한 CMS, 지로 등 자동납부 및 당사 계좌간 자동이체 출금실적이 월 1건 이상 있는 경우(이체일이 휴일인 경우 등의 사유로 당월 이체 실적이 없는 경우 우대이율을 적용하지 않음)] 
* 기타 : 0.3% [이 예금을 연결한 간편결제(비바리퍼블리카(토스), 카카오페이, NHN페이코(PAYCO), 네이버파이낸셜(네이버페이)) 거래 실적이 월 1건 이상 있는 경우]",,0.2%,0.3%,,,,,,,,,,,0.3%,,,,,,
14,NH저축은행,NH FIC-One 보통예금,,0.03,,,0.038,,,5000만원초과~10000만원이하,"매월 첫 영업일
보통예금 최초 신규일 또는 매월 1일부터 말일까지의 기간을 이자계산 기간으로 하고, 기간중 매일의 최종잔액에 대하여 당행 비대면 채널(인터넷 홈페이지, 모바일뱅킹)에 고시한 이율로 계산하여 적용",,,,만 19세 이상의 개인(본인 명의의 휴대폰 보유자),온라인,,"■ 계약 체결 전 상품설명서 및 약관을 반드시 확인하시기 바랍니다.
■ 「금융소비자 보호에 관한 법률」 제19조 제1항에 따라 해당 상품에 대해 충분한 사전 설명을 받을 권리가 있으며, 설명을 이해한 후 거래하시기 바랍니다.
■ 본 설명서는 「금융소비자 보호에 관한 법률」 제 19조 제1항, 동 법 시행령 제 14조 제1항, 제3항에 따라 금융상품에 관한 중요한 사항을 이해 하기 쉽도록 설명하기 위해 설명을 하기 전에 제공되는 자료로써, 상담일 이후 가입금액 등 변경에 의하여 일부 내용이 달라질 수 있습니다.
■ 본 상품의 금리는 변동 될 수 있으며, 변동시 영업점 및 비대면 채널에 고시됩니다.
■ 본 상품의 특약 및 상품설명서에 의거 간편결제(Pay) 업체가 제외될 경우 변경일 1개월 전에 비대면 채널에 게시하나, 간편결제(Pay) 업체 폐업 등 부득이한 사유가 발생할 경우 비대면 채널에 즉시 게시하고 게시 내용은 1개월 이상 유지합니다.
■ 본 상품 가입시 금융감독원의 금융사기 피해 예방의 일환으로 금융거래목적 확인을 위한 증빙서류 제출이 필요할 수 있으며, 개설 목적 등 검토 후 가입 제한 될 수 있습니다.",2,,우대사항없음,,,,,,,,,,,,,,,,,,,,
15,NH저축은행,NH FIC-One 보통예금,,0.002,,,0.038,,,10000만원초과,"매월 첫 영업일
보통예금 최초 신규일 또는 매월 1일부터 말일까지의 기간을 이자계산 기간으로 하고, 기간중 매일의 최종잔액에 대하여 당행 비대면 채널(인터넷 홈페이지, 모바일뱅킹)에 고시한 이율로 계산하여 적용",,,,만 19세 이상의 개인(본인 명의의 휴대폰 보유자),온라인,,"■ 계약 체결 전 상품설명서 및 약관을 반드시 확인하시기 바랍니다.
■ 「금융소비자 보호에 관한 법률」 제19조 제1항에 따라 해당 상품에 대해 충분한 사전 설명을 받을 권리가 있으며, 설명을 이해한 후 거래하시기 바랍니다.
■ 본 설명서는 「금융소비자 보호에 관한 법률」 제 19조 제1항, 동 법 시행령 제 14조 제1항, 제3항에 따라 금융상품에 관한 중요한 사항을 이해 하기 쉽도록 설명하기 위해 설명을 하기 전에 제공되는 자료로써, 상담일 이후 가입금액 등 변경에 의하여 일부 내용이 달라질 수 있습니다.
■ 본 상품의 금리는 변동 될 수 있으며, 변동시 영업점 및 비대면 채널에 고시됩니다.
■ 본 상품의 특약 및 상품설명서에 의거 간편결제(Pay) 업체가 제외될 경우 변경일 1개월 전에 비대면 채널에 게시하나, 간편결제(Pay) 업체 폐업 등 부득이한 사유가 발생할 경우 비대면 채널에 즉시 게시하고 게시 내용은 1개월 이상 유지합니다.
■ 본 상품 가입시 금융감독원의 금융사기 피해 예방의 일환으로 금융거래목적 확인을 위한 증빙서류 제출이 필요할 수 있으며, 개설 목적 등 검토 후 가입 제한 될 수 있습니다.",2,,우대사항없음,,,,,,,,,,,,,,,,,,,,
16,전북은행,씨드모아 통장,,0.0295,,,0.0365,,,제한없음,"예금의 이자는 매월 제 4 금요일에 셈하여 그 다음일에 원금에 더함
※ 예금의 이자는 최종거래일로부터 5년이 경과한 날부터는 이자에 원금을 더하지 않고, 계좌해지 또는 추가 입출금 거래 발생일에 일괄 계산하여 지급할 수 있습니다.",,,,"전북은행 첫거래 고객(실명의 개인 및 개인사업자, 1인 1계좌)
* 첫거래 고객 : 가입일 당일 당행 최초 신규 등록고객 또는 가입일 직전 1개월 동안 당행 원화 입출금통장 보유이력(거래중지계좌 포함, 시효완성계좌 제외)이 없는 고객",온라인,,"￭ 이 예금은 공동명의, 명의변경이 불가합니다.
￭ 이 예금은 비대면 전용상품으로 종이통장을 발급하지 않습니다.
￭ 이 예금에서 다른 예금으로 전환 및 다른 예금에서 이 예금으로 전환은 불가합니다.
￭ 이 예금의 최초 신규시 한도제한계좌로 개설되며, 한도제한계좌 해제신청은 영업점, 모바일뱅킹을 통 해 가능합니다.
￭ 이 예금의 이율은 변경될 수 있으며, 이율이 변경되었을때는 변동되는 날부터 변경된 이율을 적용 합니다.
￭ 이 상품은 전북은행 상품개발부에서 개발 및 디지털고객부에서 관리하는 상품입니다. 본 상품에 대한 문의사항 또는 민원 상담이 필요하시면 영업점, 고객센터(1588-4477) 또는 인터넷 홈페이지(www.jbbank.co.kr)을 통해 문의주시기 바랍니다. 또한 본 상품에 대하여 당 은행과 분쟁이 있는 경우에는 금융소비자보호법에 따라 금융감독원 민원상담센터(국번없이 1332) 또는 e-금융민원센터(https://www.fcsc.kr)에 분쟁조정을 신청할 수 있습니다.",2,,"* 이벤트 : 0.7% [기간(23. 9. 20 ~ 12. 31)내 가입, 가입일로부터 6개월간 적용]",,,,,,,,,,,,,0.7%,,,,,,,
17,SC제일은행,제일EZ통장,,0.026,,,0.036,,,300만원이하,"매월 첫 영업일(예금 신규시는 예금신규일)부터 매월 말일 (단, 말일이 금융휴무일 또는 법정공휴일인 경우에는 연속되는 휴일의 마지막 날)까지 일별로 이자계산하여 합산된 이자금액을 매월 첫 영업일에 원금에 더함",,,첫거래,"개인 및 개인사업자 (1인 1계좌에 한함)
※ 본 상품은 통장 발행이 불가한 온라인 전용 상품입니다.",상관없음,,"▪ 이 설명서는 「금융소비자 보호에 관한 법률」 및 은행의 내부통제기준에 따른 절차를 거쳐 금융상품에 관한 중요한 사항을 이해하기 쉽도록 설명하기 위해 설명을 하기 전에 제공되는 자료로서, 상담일 이후 가입금액, 계약기간 등 변경에 의하여 일부 내용이 달라질 수 있습니다.
▪ 이 예금은 비과세종합저축으로 가입할 수 있습니다.
▪ 이 예금은 명의변경 및 양도할 수 없습니다.
▪ 이 예금은 담보제공 할 수 없습니다.
▪ 이 예금은 통장 발행이 불가합니다.
▪ 이 상품은 SC제일은행 수신상품부에서 개발 및 관리하는 상품입니다. 본 상품에 대한 문의사항 또는 민원상담이 필요하시면 영업점, 고객컨택센터(1588-1599) 또는 인터넷 홈페이지(www.standardchartered.co.kr)를 통해 문의주시기 바랍니다. 또한 본 상품에 대하여 당 은행과 분쟁이 있는 경우에는 금융소비자보호법에 따라 금융감독원 민원상담 센터(국번없이1332) 또는 e-금융민원센터(https://www.fcsc.kr)에 분쟁조정을 신청할 수 있습니다.",1,,"
* 최초거래 : 1.0% [30일 이내 계좌 신규 고객 대상, 일별 잔액 전 구간 6개월간 적용]",,,,,1.0%,,,,,,,,,,,,,,,
18,SC제일은행,제일EZ통장,,0.026,,,0.036,,,300만원초과,"매월 첫 영업일(예금 신규시는 예금신규일)부터 매월 말일 (단, 말일이 금융휴무일 또는 법정공휴일인 경우에는 연속되는 휴일의 마지막 날)까지 일별로 이자계산하여 합산된 이자금액을 매월 첫 영업일에 원금에 더함",,,첫거래,"개인 및 개인사업자 (1인 1계좌에 한함)
※ 본 상품은 통장 발행이 불가한 온라인 전용 상품입니다.",상관없음,,"▪ 이 설명서는 「금융소비자 보호에 관한 법률」 및 은행의 내부통제기준에 따른 절차를 거쳐 금융상품에 관한 중요한 사항을 이해하기 쉽도록 설명하기 위해 설명을 하기 전에 제공되는 자료로서, 상담일 이후 가입금액, 계약기간 등 변경에 의하여 일부 내용이 달라질 수 있습니다.
▪ 이 예금은 비과세종합저축으로 가입할 수 있습니다.
▪ 이 예금은 명의변경 및 양도할 수 없습니다.
▪ 이 예금은 담보제공 할 수 없습니다.
▪ 이 예금은 통장 발행이 불가합니다.
▪ 이 상품은 SC제일은행 수신상품부에서 개발 및 관리하는 상품입니다. 본 상품에 대한 문의사항 또는 민원상담이 필요하시면 영업점, 고객컨택센터(1588-1599) 또는 인터넷 홈페이지(www.standardchartered.co.kr)를 통해 문의주시기 바랍니다. 또한 본 상품에 대하여 당 은행과 분쟁이 있는 경우에는 금융소비자보호법에 따라 금융감독원 민원상담 센터(국번없이1332) 또는 e-금융민원센터(https://www.fcsc.kr)에 분쟁조정을 신청할 수 있습니다.",1,,"
* 최초거래 : 1.0% [30일 이내 계좌 신규 고객 대상, 일별 잔액 전 구간 6개월간 적용]",,,,,1.0%,,,,,,,,,,,,,,,
19,BNK저축은행,삼삼한 파킹통장,,0.033,,,0.036,,,5000만원이하,"매 분기말(3월, 6월, 9월 12월) 셋째주 토요일 지급",,,,개인(1인 1계좌),온라인,,"• 기본금리 및 우대금리는 변동금리이며 변동 시 영업점 및 인터넷 홈페이지에 고시됩니다.
• 구글 플레이스토어 또는 앱스토어에서 저축은행 을 다운받아 계좌개설이 가능합니다.
단, 비대면 계좌개설 방침에 따라 가입이 제한될 수 있습니다.
• 이 설명서는 「금융소비자 보호에 관한 법률」 제19조 제1항, 동법 시행령 제14조 제1항에 따라 금융상품에 관한 중요한 사항을 이해하기 쉽도록 설명하기 위해 약정 전에 제공되는 자료로서, 상담일 이후 가입금액, 계약기간 등 변경에 의하여 일부 내용이 달라질 수 있습니다.",4,,* 마케팅동의 : 0.3%,,0.3%,,,,,,,,,,,,,,,,,,
20,BNK저축은행,삼삼한 파킹통장,,0.01,,,0.036,,,5000만원초과,"매 분기말(3월, 6월, 9월 12월) 셋째주 토요일 지급",,,,개인(1인 1계좌),온라인,,"• 기본금리 및 우대금리는 변동금리이며 변동 시 영업점 및 인터넷 홈페이지에 고시됩니다.
• 구글 플레이스토어 또는 앱스토어에서 저축은행 을 다운받아 계좌개설이 가능합니다.
단, 비대면 계좌개설 방침에 따라 가입이 제한될 수 있습니다.
• 이 설명서는 「금융소비자 보호에 관한 법률」 제19조 제1항, 동법 시행령 제14조 제1항에 따라 금융상품에 관한 중요한 사항을 이해하기 쉽도록 설명하기 위해 약정 전에 제공되는 자료로서, 상담일 이후 가입금액, 계약기간 등 변경에 의하여 일부 내용이 달라질 수 있습니다.",4,,* 마케팅동의 : 0.3%,,0.3%,,,,,,,,,,,,,,,,,,
21,광주은행,365파킹통장,,0.03,,,0.035,,,1000만원이하,"지난 이자지급일(또는 최초 예금일)부터 다음 이자지급일 전일까지의 기간을 이자 계산 기간으로 하고, 이자계산기간의 매 일자별 최종잔액에 대해 금액 구간별 적용 금리를 적용한 일별 이자를 합산하여 매주 토요일에 세금 공제 후 지급",,,,"이 예금 가입일 직전(가입일 제외) 6개월 동안 당행 입출금이 자유로운 예금 계좌 보유 이력 및 거래 이력(해지 포함, 신규취소 제외)이 없는 만 17세 이상 실명의 개인인 내국인(1인 1계좌)",온라인,,"• 이 상품은 금융사고 방지를 위해 ‘금융거래 한도 제한계좌’로 개설되며, 최근 20영업일 이내 금융기관에서 입출금 계좌 개설 기록이 있는 경우 계좌 개설이 불가할 수 있습니다.
• 이 예금의 금리는 변경될 수 있으며, 금리 변경 시 변경되는 날부터 변경된 금리를 적용합니다.
• 이 상품을 가입(계약)하시는 경우 금융소비자보호법 제19조 제1항에 따라 상품에 대한 중요한 사항을 설명 받으실 수 있습니다.
• 이 예금은 공동명의 가입 불가합니다.
• 이 예금은 실물 통장이 발급되지 않습니다.
• 이 안내는 관련 법령 및 광주은행 내부통제기준에 따른 관련 절차를 거쳐 제공됩니다.
• 이 설명서는「금융소비자 보호에 관한 법률」등 관련 법령 및 광주은행의 내부통제기준에 따른 절차를 거쳐 금융상품에 관한 중요한 사항을 이해하기 쉽도록 설명하기 전에 제공되는 자료로서 상담일 이후 가입금액, 계약기간 등 변경에 의해 일부 내용이 달라질 수 있습니다.
• 이 금융상품을 가입(계약)하시기 전에 ‘상품설명서’ 및 ‘약관’을 반드시 읽어 보시기 바랍니다.
• 이 예금은 광주은행 상품개발실에서 개발한 금융상품입니다. 본 상품에 대한 궁금하신 사항은 영업점, 고객센터(1588-3388, 1600-4000) 또는 인터넷홈페이지(www.kjbank.com)를 통해 문의 주시기 바랍니다.",1,,"* 이벤트 : 0.50% [매일의 최종 잔액 중 1원 이상 1천만원이하 금액, 가입일로부터 6개월 동안 적용]
",,,,,,,,,,,,,0.50%,,,,,,,
